trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,2.0,54.1,83.47,68.785,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer53_coef2.0_summary.csv,False
1,61,4.5,71.08,20.77,45.925,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer61_coef4.5_summary.csv,False
2,33,0.5,30.45,88.42,59.435,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer33_coef0.5_summary.csv,False
3,20,1.5,37.88,87.83,62.855000000000004,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer20_coef1.5_summary.csv,False
4,66,3.5,62.33,50.87,56.599999999999994,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer66_coef3.5_summary.csv,False
5,34,1.5,61.88,83.94,72.91,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer34_coef1.5_summary.csv,False
6,62,3.0,58.58,74.94,66.75999999999999,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer62_coef3.0_summary.csv,False
7,20,3.5,73.91,85.56,79.735,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer20_coef3.5_summary.csv,False
8,55,1.5,43.04,86.36,64.7,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer55_coef1.5_summary.csv,False
9,65,4.5,76.77,16.36,46.565,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer65_coef4.5_summary.csv,False
10,20,3.5,73.91,85.56,79.735,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer20_coef3.5_summary.csv,False
11,58,3.5,76.74,44.77,60.754999999999995,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer58_coef3.5_summary.csv,False
12,20,3.5,73.91,85.56,79.735,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer20_coef3.5_summary.csv,False
13,7,4.0,26.41,88.34,57.375,optuna_results/Llama-3.3-70B-Instruct/anthropomorphic/pv_budget50_seeds3/seed_0/anthropomorphic_pv_layer7_coef4.0_summary.csv,False
