trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,24,3.0,78.45,86.18,82.315,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer24_coef3.0_summary.csv,False
1,28,2.0,67.06,86.46,76.75999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer28_coef2.0_summary.csv,False
2,23,4.0,87.15,81.17,84.16,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer23_coef4.0_summary.csv,False
3,22,1.5,35.29,87.59,61.44,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer22_coef1.5_summary.csv,False
4,33,4.0,88.94,61.4,75.17,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer33_coef4.0_summary.csv,False
5,31,3.0,88.73,75.63,82.18,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer31_coef3.0_summary.csv,False
6,29,3.0,83.92,80.14,82.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer29_coef3.0_summary.csv,False
7,21,1.0,29.92,88.23,59.075,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer21_coef1.0_summary.csv,False
8,27,2.0,62.79,86.45,74.62,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer27_coef2.0_summary.csv,False
9,21,4.5,88.2,81.49,84.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer21_coef4.5_summary.csv,False
10,21,4.5,88.2,81.49,84.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer21_coef4.5_summary.csv,False
11,21,4.5,88.2,81.49,84.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer21_coef4.5_summary.csv,False
12,30,4.5,93.92,52.98,73.45,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer30_coef4.5_summary.csv,False
13,32,4.5,90.52,51.4,70.96,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer32_coef4.5_summary.csv,False
14,34,0.5,32.07,88.81,60.44,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer34_coef0.5_summary.csv,False
