trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,2.0,52.99,84.75,68.87,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer53_coef2.0_summary.csv,False
1,61,4.5,71.4,18.97,45.185,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer61_coef4.5_summary.csv,False
2,33,0.5,31.17,88.39,59.78,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer33_coef0.5_summary.csv,False
3,20,1.5,35.68,88.01,61.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer20_coef1.5_summary.csv,False
4,66,3.5,66.81,56.05,61.43,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer66_coef3.5_summary.csv,False
5,34,1.5,64.58,83.59,74.08500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer34_coef1.5_summary.csv,False
6,62,3.0,62.35,75.03,68.69,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer62_coef3.0_summary.csv,False
7,20,3.5,76.48,85.03,80.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer20_coef3.5_summary.csv,False
8,55,1.5,42.96,86.47,64.715,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer55_coef1.5_summary.csv,False
9,65,4.5,73.27,14.72,43.995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer65_coef4.5_summary.csv,False
10,20,3.5,76.48,85.03,80.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer20_coef3.5_summary.csv,False
11,58,3.5,75.7,41.8,58.75,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer58_coef3.5_summary.csv,False
12,20,3.5,76.48,85.03,80.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer20_coef3.5_summary.csv,False
13,7,4.0,24.67,87.95,56.31,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer7_coef4.0_summary.csv,False
14,50,2.5,63.53,81.94,72.735,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer50_coef2.5_summary.csv,False
15,25,1.0,33.15,87.92,60.535,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer25_coef1.0_summary.csv,False
16,20,3.5,76.48,85.03,80.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer20_coef3.5_summary.csv,False
17,16,3.5,39.83,87.34,63.585,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer16_coef3.5_summary.csv,False
18,48,3.0,79.27,69.76,74.515,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer48_coef3.0_summary.csv,False
19,12,1.0,20.62,87.85,54.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer12_coef1.0_summary.csv,False
20,74,2.5,42.73,85.13,63.92999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer74_coef2.5_summary.csv,False
21,20,3.5,76.48,85.03,80.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer20_coef3.5_summary.csv,False
22,29,3.5,87.48,75.79,81.635,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer29_coef3.5_summary.csv,False
23,29,3.5,87.48,75.79,81.635,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer29_coef3.5_summary.csv,False
24,29,0.5,26.39,87.86,57.125,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer29_coef0.5_summary.csv,False
25,27,4.0,86.56,73.88,80.22,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer27_coef4.0_summary.csv,False
26,29,2.0,71.54,84.7,78.12,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer29_coef2.0_summary.csv,False
27,77,3.5,59.18,48.86,54.019999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer77_coef3.5_summary.csv,False
28,56,3.5,78.53,51.13,64.83,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer56_coef3.5_summary.csv,False
29,18,2.0,32.0,87.97,59.985,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer18_coef2.0_summary.csv,False
30,1,3.5,22.73,87.47,55.1,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer1_coef3.5_summary.csv,False
31,47,3.5,80.62,58.51,69.565,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer47_coef3.5_summary.csv,False
32,57,3.5,75.79,50.68,63.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer57_coef3.5_summary.csv,False
33,72,4.5,61.98,9.15,35.565,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer72_coef4.5_summary.csv,False
34,70,3.5,68.08,33.12,50.599999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer70_coef3.5_summary.csv,False
35,15,0.5,20.73,87.75,54.24,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer15_coef0.5_summary.csv,False
36,17,3.5,41.91,87.72,64.815,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer17_coef3.5_summary.csv,False
