trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,25,3.0,76.46,55.41,65.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef3.0_summary.csv,False
1,24,2.0,33.5,90.77,62.135,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer24_coef2.0_summary.csv,False
2,14,4.0,63.3,60.86,62.08,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer14_coef4.0_summary.csv,False
3,15,1.5,26.5,91.89,59.195,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer15_coef1.5_summary.csv,False
4,18,4.0,66.02,58.28,62.15,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer18_coef4.0_summary.csv,False
5,17,3.0,36.2,88.09,62.145,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer17_coef3.0_summary.csv,False
6,21,3.0,66.07,63.28,64.675,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer21_coef3.0_summary.csv,False
7,28,1.0,28.3,91.14,59.72,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer28_coef1.0_summary.csv,False
8,16,2.0,26.45,91.69,59.07,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer16_coef2.0_summary.csv,False
9,28,4.5,92.05,13.15,52.6,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer28_coef4.5_summary.csv,False
10,25,3.5,85.75,34.75,60.25,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef3.5_summary.csv,False
11,21,3.0,66.07,63.28,64.675,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer21_coef3.0_summary.csv,False
12,25,3.0,76.46,55.41,65.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef3.0_summary.csv,False
13,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
14,22,2.5,41.55,85.66,63.605,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer22_coef2.5_summary.csv,False
15,27,2.5,65.4,68.36,66.88,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer27_coef2.5_summary.csv,False
16,27,2.5,65.4,68.36,66.88,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer27_coef2.5_summary.csv,False
17,34,0.5,26.32,91.68,59.0,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer34_coef0.5_summary.csv,False
18,27,2.5,65.4,68.36,66.88,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer27_coef2.5_summary.csv,False
19,29,2.5,74.8,55.89,65.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer29_coef2.5_summary.csv,False
20,35,2.5,89.95,16.32,53.135000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer35_coef2.5_summary.csv,False
21,27,2.5,65.4,68.36,66.88,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer27_coef2.5_summary.csv,False
22,27,2.5,65.4,68.36,66.88,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer27_coef2.5_summary.csv,False
23,20,2.5,39.15,85.29,62.22,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer20_coef2.5_summary.csv,False
24,27,1.5,29.15,90.87,60.010000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer27_coef1.5_summary.csv,False
25,27,3.5,86.5,30.51,58.505,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer27_coef3.5_summary.csv,False
26,20,0.5,25.4,91.58,58.489999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer20_coef0.5_summary.csv,False
27,14,4.5,72.75,46.95,59.85,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer14_coef4.5_summary.csv,False
28,17,1.0,26.45,91.62,59.035000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer17_coef1.0_summary.csv,False
29,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
30,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
31,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
32,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
33,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
34,25,2.0,37.4,89.74,63.56999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.0_summary.csv,False
35,25,4.0,88.6,24.16,56.379999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef4.0_summary.csv,False
36,24,2.5,51.15,85.06,68.105,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer24_coef2.5_summary.csv,False
37,15,1.5,26.5,91.89,59.195,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer15_coef1.5_summary.csv,False
38,18,4.0,66.02,58.28,62.15,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer18_coef4.0_summary.csv,False
39,25,1.0,27.55,91.43,59.49,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef1.0_summary.csv,False
40,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
41,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
42,25,2.5,58.82,78.28,68.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.5_summary.csv,False
43,25,4.5,91.7,14.76,53.230000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef4.5_summary.csv,False
44,25,2.0,37.4,89.74,63.56999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer25_coef2.0_summary.csv,False
45,16,3.5,51.95,77.44,64.695,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer16_coef3.5_summary.csv,False
46,22,2.5,41.55,85.66,63.605,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer22_coef2.5_summary.csv,False
47,35,2.5,89.95,16.32,53.135000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer35_coef2.5_summary.csv,False
48,29,0.5,27.25,91.58,59.415,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer29_coef0.5_summary.csv,False
49,34,2.5,88.05,18.91,53.48,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_cluster_layer34_coef2.5_summary.csv,False
