trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,96.55,4.13,50.339999999999996,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer41_coef4.0_summary.csv,False
1,21,1.5,27.5,91.4,59.45,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer21_coef1.5_summary.csv,False
2,74,3.5,97.83,3.07,50.449999999999996,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer74_coef3.5_summary.csv,False
3,32,1.0,29.4,90.88,60.14,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer32_coef1.0_summary.csv,False
4,11,4.5,26.3,91.49,58.894999999999996,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer11_coef4.5_summary.csv,False
5,75,3.0,87.21,13.14,50.175,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_pv_layer75_coef3.0_summary.csv,False
6,15,1.0,26.75,91.33,59.04,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_pv_layer15_coef1.0_summary.csv,False
7,53,2.0,36.15,87.44,61.795,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer53_coef2.0_summary.csv,False
8,29,4.5,91.7,13.96,52.83,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer29_coef4.5_summary.csv,False
9,69,2.0,30.8,89.95,60.375,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer69_coef2.0_summary.csv,False
10,70,2.0,30.9,86.81,58.855000000000004,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_pv_layer70_coef2.0_summary.csv,False
11,69,2.0,30.8,89.95,60.375,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer69_coef2.0_summary.csv,False
12,2,2.0,26.85,91.83,59.34,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer2_coef2.0_summary.csv,False
13,22,2.5,31.65,90.3,60.974999999999994,optuna_results/Llama-3.3-70B-Instruct/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer22_coef2.5_summary.csv,False
