trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,35,3.5,91.7,8.26,49.980000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer35_coef3.5_summary.csv,False
1,25,1.0,29.85,91.11,60.480000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer25_coef1.0_summary.csv,True
2,29,3.0,73.92,55.54,64.73,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer29_coef3.0_summary.csv,False
3,14,0.5,25.25,91.58,58.415,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer14_coef0.5_summary.csv,False
4,35,1.0,30.4,91.02,60.709999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer35_coef1.0_summary.csv,True
5,29,2.0,37.7,86.78,62.24,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer29_coef2.0_summary.csv,False
6,22,0.5,26.1,91.34,58.72,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer22_coef0.5_summary.csv,False
7,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
8,25,2.5,37.85,88.21,63.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer25_coef2.5_summary.csv,False
9,16,4.5,43.8,82.92,63.36,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer16_coef4.5_summary.csv,False
10,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
11,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
12,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
13,18,4.0,52.6,79.02,65.81,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer18_coef4.0_summary.csv,False
14,28,1.5,30.35,91.24,60.795,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer28_coef1.5_summary.csv,False
15,27,3.5,78.85,47.1,62.974999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer27_coef3.5_summary.csv,False
16,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
17,17,4.0,39.85,85.03,62.44,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef4.0_summary.csv,False
18,34,2.5,79.6,41.2,60.4,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer34_coef2.5_summary.csv,False
19,21,1.5,28.55,91.27,59.91,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer21_coef1.5_summary.csv,False
20,20,4.5,66.5,62.91,64.705,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer20_coef4.5_summary.csv,False
21,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
22,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
23,15,3.5,35.1,86.8,60.95,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef3.5_summary.csv,False
24,24,2.0,30.95,90.88,60.915,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef2.0_summary.csv,False
25,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
26,24,3.0,48.25,85.54,66.89500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.0_summary.csv,False
27,21,3.5,56.0,71.76,63.88,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer21_coef3.5_summary.csv,False
28,18,3.5,43.85,82.88,63.364999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer18_coef3.5_summary.csv,False
29,28,3.5,80.81,39.02,59.915000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer28_coef3.5_summary.csv,False
30,14,3.5,30.95,89.67,60.31,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer14_coef3.5_summary.csv,False
31,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
32,24,1.0,27.65,91.06,59.355000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef1.0_summary.csv,False
33,24,3.5,66.14,71.78,68.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer24_coef3.5_summary.csv,False
34,15,3.0,31.95,90.61,61.28,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef3.0_summary.csv,False
35,17,0.5,26.65,91.64,59.144999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef0.5_summary.csv,False
36,35,3.5,91.7,8.26,49.980000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer35_coef3.5_summary.csv,False
37,22,2.0,29.45,90.39,59.92,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer22_coef2.0_summary.csv,False
38,34,1.0,30.2,90.59,60.395,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer34_coef1.0_summary.csv,False
39,25,2.5,37.85,88.21,63.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer25_coef2.5_summary.csv,False
