trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,38,3.5,94.45,44.86,69.655,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer38_coef3.5_summary.csv,False
1,27,1.0,39.19,91.0,65.095,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer27_coef1.0_summary.csv,False
2,12,3.0,33.06,91.18,62.120000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer12_coef3.0_summary.csv,False
3,35,0.5,34.81,90.6,62.705,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer35_coef0.5_summary.csv,False
4,38,1.0,48.15,90.13,69.14,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer38_coef1.0_summary.csv,False
5,12,2.0,31.51,91.15,61.330000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer12_coef2.0_summary.csv,False
6,40,0.5,37.69,90.37,64.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer40_coef0.5_summary.csv,False
7,34,3.5,92.66,53.52,73.09,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer34_coef3.5_summary.csv,False
8,27,2.5,61.92,89.81,75.86500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer27_coef2.5_summary.csv,False
9,32,4.5,93.33,42.39,67.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer32_coef4.5_summary.csv,False
10,22,2.5,54.2,90.33,72.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer22_coef2.5_summary.csv,False
11,34,3.5,92.66,53.52,73.09,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer34_coef3.5_summary.csv,False
12,27,2.5,61.92,89.81,75.86500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer27_coef2.5_summary.csv,False
13,27,2.5,61.92,89.81,75.86500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer27_coef2.5_summary.csv,False
14,30,2.5,67.92,88.29,78.105,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer30_coef2.5_summary.csv,False
15,30,4.0,90.65,62.67,76.66,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer30_coef4.0_summary.csv,False
16,30,4.0,90.65,62.67,76.66,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer30_coef4.0_summary.csv,False
17,30,4.0,90.65,62.67,76.66,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer30_coef4.0_summary.csv,False
18,39,1.5,66.95,88.56,77.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer39_coef1.5_summary.csv,False
19,39,1.5,66.95,88.56,77.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer39_coef1.5_summary.csv,False
20,39,1.5,66.95,88.56,77.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer39_coef1.5_summary.csv,False
21,39,1.5,66.95,88.56,77.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer39_coef1.5_summary.csv,False
22,39,1.5,66.95,88.56,77.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer39_coef1.5_summary.csv,False
23,29,1.5,46.5,90.19,68.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer29_coef1.5_summary.csv,False
24,31,1.5,48.4,90.38,69.39,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer31_coef1.5_summary.csv,False
25,33,4.5,93.39,36.19,64.78999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer33_coef4.5_summary.csv,False
26,36,3.0,92.16,56.7,74.43,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer36_coef3.0_summary.csv,False
27,28,2.0,54.17,89.97,72.07,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_pv_layer28_coef2.0_summary.csv,False
28,39,1.5,66.95,88.56,77.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer39_coef1.5_summary.csv,False
29,39,1.5,66.95,88.56,77.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer39_coef1.5_summary.csv,False
30,35,2.5,83.82,76.34,80.08,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer35_coef2.5_summary.csv,False
31,35,2.5,83.82,76.34,80.08,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_cluster_layer35_coef2.5_summary.csv,False
