trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,27,3.0,68.0,88.69,78.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer27_coef3.0_summary.csv,False
1,34,2.0,71.27,87.82,79.54499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer34_coef2.0_summary.csv,False
2,35,4.0,93.99,39.05,66.52,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer35_coef4.0_summary.csv,False
3,33,1.5,52.7,89.68,71.19,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer33_coef1.5_summary.csv,False
4,30,4.0,91.5,63.18,77.34,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer30_coef4.0_summary.csv,False
5,31,3.0,82.7,80.28,81.49000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer31_coef3.0_summary.csv,False
6,29,3.0,77.8,85.83,81.815,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer29_coef3.0_summary.csv,False
7,39,1.0,50.85,89.96,70.405,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer39_coef1.0_summary.csv,False
8,32,2.0,64.67,88.95,76.81,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer32_coef2.0_summary.csv,False
9,39,4.5,95.15,26.96,61.05500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer39_coef4.5_summary.csv,False
10,29,3.5,85.2,79.46,82.33,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer29_coef3.5_summary.csv,False
11,29,3.5,85.2,79.46,82.33,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer29_coef3.5_summary.csv,False
12,29,3.5,85.2,79.46,82.33,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer29_coef3.5_summary.csv,False
13,28,3.5,80.8,83.37,82.08500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer28_coef3.5_summary.csv,False
14,40,3.5,94.48,44.42,69.45,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer40_coef3.5_summary.csv,False
15,38,2.5,88.15,70.0,79.075,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer38_coef2.5_summary.csv,False
16,29,0.5,33.12,91.17,62.144999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer29_coef0.5_summary.csv,False
17,22,3.5,66.87,88.17,77.52000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer22_coef3.5_summary.csv,False
18,12,3.5,35.02,91.08,63.05,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer12_coef3.5_summary.csv,False
19,29,1.5,46.32,90.37,68.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer29_coef1.5_summary.csv,False
20,36,4.5,94.86,31.6,63.230000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer36_coef4.5_summary.csv,False
