trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,39,3.0,95.75,17.3,56.525,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer39_coef3.0_summary.csv,False
1,34,2.0,10.02,91.57,50.794999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer34_coef2.0_summary.csv,False
2,35,4.0,96.06,14.73,55.395,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer35_coef4.0_summary.csv,False
3,23,1.5,4.2,91.96,48.08,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer23_coef1.5_summary.csv,False
4,25,4.0,7.16,91.89,49.525,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer25_coef4.0_summary.csv,False
5,27,3.0,5.15,92.25,48.7,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer27_coef3.0_summary.csv,False
6,24,3.0,5.32,91.98,48.650000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer24_coef3.0_summary.csv,False
7,28,1.0,4.74,91.6,48.169999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer28_coef1.0_summary.csv,False
8,22,2.0,2.97,91.92,47.445,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer22_coef2.0_summary.csv,False
9,28,4.5,34.56,90.19,62.375,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer28_coef4.5_summary.csv,False
10,28,4.5,34.56,90.19,62.375,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer28_coef4.5_summary.csv,False
11,28,4.5,34.56,90.19,62.375,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer28_coef4.5_summary.csv,False
12,26,4.5,19.95,91.2,55.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer26_coef4.5_summary.csv,False
13,33,4.5,94.48,21.75,58.115,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer33_coef4.5_summary.csv,False
14,38,0.5,3.41,91.49,47.449999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer38_coef0.5_summary.csv,False
15,31,3.5,60.41,84.06,72.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef3.5_summary.csv,False
16,29,3.5,10.96,91.9,51.43000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer29_coef3.5_summary.csv,False
17,31,3.5,60.41,84.06,72.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef3.5_summary.csv,False
18,31,3.5,60.41,84.06,72.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef3.5_summary.csv,False
19,31,2.5,7.19,91.79,49.49,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef2.5_summary.csv,False
20,31,3.5,60.41,84.06,72.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef3.5_summary.csv,False
21,31,3.5,60.41,84.06,72.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef3.5_summary.csv,False
22,31,3.5,60.41,84.06,72.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef3.5_summary.csv,False
23,9,3.5,2.97,91.76,47.365,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer9_coef3.5_summary.csv,False
24,31,3.5,60.41,84.06,72.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef3.5_summary.csv,False
25,31,3.5,60.41,84.06,72.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef3.5_summary.csv,False
26,31,0.5,3.21,91.69,47.449999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer31_coef0.5_summary.csv,False
27,35,2.5,37.88,88.4,63.14,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer35_coef2.5_summary.csv,False
28,33,1.5,3.61,91.57,47.589999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer33_coef1.5_summary.csv,False
29,39,1.0,6.65,91.44,49.045,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer39_coef1.0_summary.csv,False
30,34,3.5,86.89,61.24,74.065,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_cluster_layer34_coef3.5_summary.csv,False
