trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,2.0,8.24,91.5,49.87,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer53_coef2.0_summary.csv,False
1,61,4.5,44.26,80.99,62.625,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer61_coef4.5_summary.csv,False
2,33,0.5,2.27,91.61,46.94,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer33_coef0.5_summary.csv,False
3,20,1.5,3.6,91.88,47.739999999999995,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer20_coef1.5_summary.csv,False
4,66,3.5,13.26,90.37,51.815000000000005,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer66_coef3.5_summary.csv,False
5,34,1.5,3.93,91.61,47.77,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer34_coef1.5_summary.csv,False
6,62,3.0,10.62,90.72,50.67,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer62_coef3.0_summary.csv,False
7,20,3.5,4.1,92.34,48.22,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer20_coef3.5_summary.csv,False
8,55,1.5,5.11,91.55,48.33,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer55_coef1.5_summary.csv,False
9,65,4.5,39.86,80.71,60.285,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer65_coef4.5_summary.csv,False
10,10,4.5,2.24,91.81,47.025,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer10_coef4.5_summary.csv,False
11,61,4.5,44.26,80.99,62.625,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer61_coef4.5_summary.csv,False
12,61,4.5,44.26,80.99,62.625,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer61_coef4.5_summary.csv,False
13,61,2.5,9.48,91.51,50.495000000000005,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer61_coef2.5_summary.csv,False
14,50,1.0,4.56,91.59,48.075,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/culinary_centric/culinary_centric_pv_layer50_coef1.0_summary.csv,False
15,28,4.0,7.39,92.06,49.725,optuna_results/Llama-3.3-70B-Instruct/culinary_centric/pv_budget50_seeds3/seed_0/culinary_centric_pv_layer28_coef4.0_summary.csv,False
