trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,45,3.0,94.4,47.13,70.765,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer45_coef3.0_summary.csv,False
1,41,2.0,70.38,86.13,78.255,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer41_coef2.0_summary.csv,False
2,31,4.0,77.06,79.95,78.505,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer31_coef4.0_summary.csv,False
3,39,1.5,57.35,91.03,74.19,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer39_coef1.5_summary.csv,False
4,44,4.0,97.78,28.1,62.94,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer44_coef4.0_summary.csv,False
5,42,3.0,94.02,50.36,72.19,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer42_coef3.0_summary.csv,False
6,43,3.0,91.58,60.01,75.795,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer43_coef3.0_summary.csv,False
7,46,1.0,41.25,91.42,66.33500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer46_coef1.0_summary.csv,False
8,40,2.0,73.11,86.4,79.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer40_coef2.0_summary.csv,False
9,46,4.5,98.3,17.24,57.769999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer46_coef4.5_summary.csv,False
10,40,2.5,81.63,74.26,77.945,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer40_coef2.5_summary.csv,False
11,31,4.0,77.06,79.95,78.505,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer31_coef4.0_summary.csv,False
12,40,2.0,73.11,86.4,79.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer40_coef2.0_summary.csv,False
13,40,2.0,73.11,86.4,79.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer40_coef2.0_summary.csv,False
14,49,2.0,69.64,87.63,78.63499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer49_coef2.0_summary.csv,False
15,48,0.5,25.67,91.57,58.62,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer48_coef0.5_summary.csv,False
16,40,3.5,95.99,41.2,68.595,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer40_coef3.5_summary.csv,False
17,47,2.0,71.87,85.22,78.545,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer47_coef2.0_summary.csv,False
18,32,2.0,47.62,91.5,69.56,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer32_coef2.0_summary.csv,False
19,28,1.5,33.9,91.66,62.78,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer28_coef1.5_summary.csv,False
20,33,4.5,87.81,64.24,76.025,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_cluster_layer33_coef4.5_summary.csv,False
21,40,2.0,73.11,86.4,79.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer40_coef2.0_summary.csv,False
22,40,2.0,73.11,86.4,79.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer40_coef2.0_summary.csv,False
23,40,2.0,73.11,86.4,79.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_pv_layer40_coef2.0_summary.csv,False
