trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,33,1.0,29.11,91.71,60.41,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer33_coef1.0_summary.csv,False
1,47,1.0,42.47,91.46,66.965,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer47_coef1.0_summary.csv,False
2,33,3.0,65.37,85.73,75.55000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer33_coef3.0_summary.csv,False
3,42,1.0,41.38,91.36,66.37,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer42_coef1.0_summary.csv,False
4,28,0.5,22.5,91.52,57.01,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer28_coef0.5_summary.csv,False
5,40,1.5,57.31,90.76,74.035,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer40_coef1.5_summary.csv,False
6,42,3.5,97.3,37.96,67.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer42_coef3.5_summary.csv,False
7,28,4.0,70.78,85.52,78.15,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer28_coef4.0_summary.csv,False
8,31,2.0,46.33,91.38,68.85499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer31_coef2.0_summary.csv,False
9,47,3.0,93.64,51.9,72.77,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer47_coef3.0_summary.csv,False
10,28,4.0,70.78,85.52,78.15,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer28_coef4.0_summary.csv,False
11,28,4.0,70.78,85.52,78.15,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer28_coef4.0_summary.csv,False
12,28,4.0,70.78,85.52,78.15,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer28_coef4.0_summary.csv,False
13,49,4.0,98.43,22.44,60.435,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer49_coef4.0_summary.csv,False
14,46,2.5,85.5,68.44,76.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer46_coef2.5_summary.csv,False
15,48,4.5,98.85,12.02,55.434999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer48_coef4.5_summary.csv,False
16,32,4.0,83.82,74.93,79.375,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef4.0_summary.csv,False
17,44,4.0,97.84,27.71,62.775000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer44_coef4.0_summary.csv,False
18,32,2.5,55.63,90.72,73.175,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef2.5_summary.csv,False
19,39,2.0,66.35,87.44,76.895,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer39_coef2.0_summary.csv,False
20,32,4.5,87.74,65.66,76.69999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef4.5_summary.csv,False
21,43,4.0,97.94,31.24,64.59,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer43_coef4.0_summary.csv,False
22,45,4.0,98.2,25.43,61.815,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer45_coef4.0_summary.csv,False
23,28,4.0,70.78,85.52,78.15,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer28_coef4.0_summary.csv,False
24,41,0.5,28.28,91.6,59.94,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer41_coef0.5_summary.csv,False
25,32,1.5,36.48,91.55,64.015,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer32_coef1.5_summary.csv,False
26,28,3.5,63.94,90.14,77.03999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer28_coef3.5_summary.csv,False
27,45,4.0,98.2,25.43,61.815,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer45_coef4.0_summary.csv,False
28,41,4.0,97.43,29.94,63.685,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/darkness_centric/darkness_centric_dir_diff_pv_layer41_coef4.0_summary.csv,False
