trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,36,1.0,42.15,90.75,66.45,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer36_coef1.0_summary.csv,False
1,22,1.0,34.45,91.41,62.93,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer22_coef1.0_summary.csv,False
2,36,3.0,78.9,79.4,79.15,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer36_coef3.0_summary.csv,False
3,34,1.0,42.8,90.77,66.785,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer34_coef1.0_summary.csv,False
4,13,0.5,34.2,91.21,62.705,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer13_coef0.5_summary.csv,False
5,32,1.5,46.3,90.67,68.485,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer32_coef1.5_summary.csv,False
6,34,3.5,84.1,64.83,74.465,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer34_coef3.5_summary.csv,False
7,13,4.0,34.2,91.37,62.785000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer13_coef4.0_summary.csv,False
8,31,2.0,51.7,90.92,71.31,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer31_coef2.0_summary.csv,False
9,22,3.0,43.2,91.03,67.11500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer22_coef3.0_summary.csv,False
10,36,2.5,72.2,86.84,79.52000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer36_coef2.5_summary.csv,False
11,36,2.5,72.2,86.84,79.52000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer36_coef2.5_summary.csv,False
12,28,2.5,47.35,90.38,68.865,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer28_coef2.5_summary.csv,False
13,23,2.5,43.45,90.89,67.17,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer23_coef2.5_summary.csv,False
14,12,2.5,34.3,91.59,62.945,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer12_coef2.5_summary.csv,False
15,38,4.5,72.5,12.62,42.56,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer38_coef4.5_summary.csv,False
16,36,2.5,72.2,86.84,79.52000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer36_coef2.5_summary.csv,False
17,33,2.5,63.75,88.71,76.22999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer33_coef2.5_summary.csv,False
18,30,0.5,36.15,91.15,63.650000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer30_coef0.5_summary.csv,False
19,35,4.0,85.55,37.66,61.605,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_cluster_layer35_coef4.0_summary.csv,False
