trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,82.41,33.3,57.855,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer41_coef4.0_summary.csv,False
1,21,1.5,37.2,91.07,64.13499999999999,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer21_coef1.5_summary.csv,False
2,74,3.5,60.4,89.7,75.05,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer74_coef3.5_summary.csv,False
3,32,1.0,41.2,91.08,66.14,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer32_coef1.0_summary.csv,False
4,11,4.5,33.25,91.6,62.425,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer11_coef4.5_summary.csv,False
5,75,3.0,51.95,90.33,71.14,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer75_coef3.0_summary.csv,False
6,15,1.0,34.6,91.61,63.105000000000004,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer15_coef1.0_summary.csv,False
7,53,2.0,49.65,89.85,69.75,optuna_results/Llama-3.3-70B-Instruct/economic/pv_budget50_seeds3/seed_0/economic_pv_layer53_coef2.0_summary.csv,False
8,29,4.5,72.6,83.38,77.99,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer29_coef4.5_summary.csv,False
9,69,2.0,41.55,90.32,65.935,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer69_coef2.0_summary.csv,False
10,70,4.5,66.35,67.51,66.93,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer70_coef4.5_summary.csv,False
11,2,3.5,34.5,91.42,62.96,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer2_coef3.5_summary.csv,False
12,76,3.5,58.3,89.44,73.87,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer76_coef3.5_summary.csv,False
13,22,2.5,40.4,91.16,65.78,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer22_coef2.5_summary.csv,False
14,7,0.5,34.0,91.11,62.555,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer7_coef0.5_summary.csv,False
15,29,3.5,60.85,89.26,75.055,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer29_coef3.5_summary.csv,False
16,64,4.5,72.1,76.45,74.275,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer64_coef4.5_summary.csv,False
17,29,0.5,36.65,91.2,63.925,optuna_results/Llama-3.3-70B-Instruct/economic/cluster_budget50_seeds3/seed_1/economic_cluster_layer29_coef0.5_summary.csv,False
