trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,38,3.5,89.54,48.54,69.04,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer38_coef3.5_summary.csv,False
1,27,1.0,36.2,91.16,63.68,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer27_coef1.0_summary.csv,False
2,13,3.0,33.4,91.61,62.504999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer13_coef3.0_summary.csv,False
3,31,0.5,36.0,91.34,63.67,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer31_coef0.5_summary.csv,False
4,38,1.0,46.05,90.78,68.41499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer38_coef1.0_summary.csv,False
5,13,2.0,34.55,91.44,62.995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer13_coef2.0_summary.csv,False
6,23,0.5,33.55,91.11,62.33,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer23_coef0.5_summary.csv,False
7,29,3.5,60.45,89.53,74.99000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer29_coef3.5_summary.csv,False
8,27,2.5,45.0,90.73,67.86500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer27_coef2.5_summary.csv,False
9,32,4.5,83.85,62.08,72.965,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer32_coef4.5_summary.csv,False
10,29,3.5,60.45,89.53,74.99000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer29_coef3.5_summary.csv,False
11,29,3.5,60.45,89.53,74.99000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer29_coef3.5_summary.csv,False
12,29,3.5,60.45,89.53,74.99000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer29_coef3.5_summary.csv,False
13,30,4.0,66.8,87.63,77.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.0_summary.csv,False
14,30,4.0,66.8,87.63,77.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.0_summary.csv,False
15,30,4.0,66.8,87.63,77.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.0_summary.csv,False
16,30,4.0,66.8,87.63,77.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.0_summary.csv,False
17,35,4.0,84.2,50.63,67.415,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer35_coef4.0_summary.csv,False
18,12,1.5,33.6,91.29,62.44500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer12_coef1.5_summary.csv,False
19,28,4.0,58.5,88.69,73.595,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer28_coef4.0_summary.csv,False
20,30,4.0,66.8,87.63,77.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.0_summary.csv,False
21,30,4.0,66.8,87.63,77.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.0_summary.csv,False
22,22,4.0,45.1,89.76,67.43,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer22_coef4.0_summary.csv,False
23,34,4.0,86.05,58.17,72.11,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer34_coef4.0_summary.csv,False
24,30,4.5,72.4,83.91,78.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.5_summary.csv,False
25,33,4.5,84.8,48.25,66.525,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer33_coef4.5_summary.csv,False
26,36,4.5,85.05,32.56,58.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer36_coef4.5_summary.csv,False
27,30,2.0,46.95,91.36,69.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef2.0_summary.csv,False
28,30,2.5,52.35,90.42,71.385,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef2.5_summary.csv,False
29,30,1.5,43.2,90.97,67.08500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef1.5_summary.csv,False
30,31,3.0,63.9,88.85,76.375,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer31_coef3.0_summary.csv,False
31,30,4.5,72.4,83.91,78.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.5_summary.csv,False
32,30,4.5,72.4,83.91,78.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.5_summary.csv,False
33,30,4.5,72.4,83.91,78.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.5_summary.csv,False
34,33,4.5,84.8,48.25,66.525,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer33_coef4.5_summary.csv,False
35,35,4.5,85.0,29.95,57.475,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer35_coef4.5_summary.csv,False
36,38,4.5,80.01,18.33,49.17,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer38_coef4.5_summary.csv,False
37,23,4.5,48.65,89.14,68.895,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer23_coef4.5_summary.csv,False
38,22,1.0,34.15,91.13,62.64,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer22_coef1.0_summary.csv,False
39,28,4.5,59.95,87.21,73.58,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer28_coef4.5_summary.csv,False
40,27,4.5,57.9,88.37,73.135,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer27_coef4.5_summary.csv,False
41,30,0.5,35.2,91.22,63.21,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef0.5_summary.csv,False
42,30,4.5,72.4,83.91,78.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.5_summary.csv,False
43,34,4.5,87.1,37.79,62.44499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer34_coef4.5_summary.csv,False
44,13,4.5,35.0,91.6,63.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer13_coef4.5_summary.csv,False
45,32,3.0,64.85,88.21,76.53,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer32_coef3.0_summary.csv,False
46,30,4.5,72.4,83.91,78.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.5_summary.csv,False
47,36,2.0,58.0,89.51,73.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer36_coef2.0_summary.csv,False
48,12,1.0,33.7,91.49,62.595,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer12_coef1.0_summary.csv,False
49,30,4.5,72.4,83.91,78.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_pv_layer30_coef4.5_summary.csv,False
