trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,2.0,50.4,89.93,70.165,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer53_coef2.0_summary.csv,False
1,61,4.5,67.05,75.05,71.05,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer61_coef4.5_summary.csv,False
2,33,0.5,35.55,90.95,63.25,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer33_coef0.5_summary.csv,False
3,20,1.5,36.5,91.35,63.925,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer20_coef1.5_summary.csv,False
4,66,3.5,59.65,87.54,73.595,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer66_coef3.5_summary.csv,False
5,34,1.5,47.8,90.3,69.05,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer34_coef1.5_summary.csv,False
6,62,3.0,51.6,89.14,70.37,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer62_coef3.0_summary.csv,False
7,20,3.5,41.25,90.98,66.11500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer20_coef3.5_summary.csv,False
8,55,1.5,42.35,90.63,66.49,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer55_coef1.5_summary.csv,False
9,65,4.5,72.35,77.43,74.89,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer65_coef4.5_summary.csv,False
10,10,4.5,35.2,91.48,63.34,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer10_coef4.5_summary.csv,False
11,42,3.5,84.82,68.9,76.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer42_coef3.5_summary.csv,False
12,42,4.0,86.2,50.58,68.39,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer42_coef4.0_summary.csv,False
13,65,2.5,48.75,89.92,69.33500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer65_coef2.5_summary.csv,False
14,50,1.0,40.85,90.62,65.735,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer50_coef1.0_summary.csv,False
15,28,4.5,61.65,87.03,74.34,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer28_coef4.5_summary.csv,False
16,42,3.5,84.82,68.9,76.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer42_coef3.5_summary.csv,False
17,42,3.5,84.82,68.9,76.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer42_coef3.5_summary.csv,False
18,48,3.5,77.59,72.57,75.08,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer48_coef3.5_summary.csv,False
19,12,3.5,34.65,91.75,63.2,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer12_coef3.5_summary.csv,False
20,74,2.5,47.9,90.39,69.145,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer74_coef2.5_summary.csv,False
21,42,3.5,84.82,68.9,76.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer42_coef3.5_summary.csv,False
22,23,3.5,47.95,90.55,69.25,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer23_coef3.5_summary.csv,False
23,42,3.5,84.82,68.9,76.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer42_coef3.5_summary.csv,False
24,42,1.0,44.1,90.67,67.385,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer42_coef1.0_summary.csv,False
25,27,3.0,50.8,90.75,70.775,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer27_coef3.0_summary.csv,False
26,56,2.0,45.45,90.21,67.83,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer56_coef2.0_summary.csv,False
27,77,0.5,34.2,91.26,62.730000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer77_coef0.5_summary.csv,False
28,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
29,18,4.0,38.3,91.29,64.795,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer18_coef4.0_summary.csv,False
30,16,2.0,33.7,91.5,62.6,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer16_coef2.0_summary.csv,False
31,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
32,57,4.0,64.55,79.61,72.08,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer57_coef4.0_summary.csv,False
33,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
34,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
35,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
36,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
37,8,4.0,34.05,91.37,62.71,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer8_coef4.0_summary.csv,False
38,11,4.0,32.75,91.54,62.145,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer11_coef4.0_summary.csv,False
39,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
40,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
41,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
42,54,4.0,68.7,75.96,72.33,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer54_coef4.0_summary.csv,False
43,30,4.0,67.15,87.4,77.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer30_coef4.0_summary.csv,False
44,71,0.5,36.4,91.15,63.775000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer71_coef0.5_summary.csv,False
45,44,1.5,52.6,90.53,71.565,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer44_coef1.5_summary.csv,False
46,78,4.0,59.13,86.48,72.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer78_coef4.0_summary.csv,False
47,52,4.0,67.49,47.98,57.735,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer52_coef4.0_summary.csv,False
48,1,3.0,34.3,91.44,62.87,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer1_coef3.0_summary.csv,False
49,17,4.0,36.35,91.42,63.885000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/economic/economic_dir_diff_pv_layer17_coef4.0_summary.csv,False
