trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,27,3.5,91.95,19.2,55.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef3.5_summary.csv,False
1,21,1.0,0.05,92.01,46.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer21_coef1.0_summary.csv,False
2,18,3.0,0.1,92.05,46.074999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer18_coef3.0_summary.csv,False
3,23,0.5,0.05,91.9,45.975,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer23_coef0.5_summary.csv,False
4,27,1.0,0.4,91.79,46.095000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef1.0_summary.csv,False
5,18,2.0,0.15,91.8,45.975,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer18_coef2.0_summary.csv,False
6,26,0.5,0.05,91.94,45.995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_pv_layer26_coef0.5_summary.csv,False
7,12,3.5,0.05,92.0,46.025,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer12_coef3.5_summary.csv,False
8,21,2.5,3.27,90.82,47.044999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer21_coef2.5_summary.csv,False
9,16,4.5,0.15,91.59,45.870000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer16_coef4.5_summary.csv,False
10,27,3.5,91.95,19.2,55.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef3.5_summary.csv,False
11,27,3.5,91.95,19.2,55.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef3.5_summary.csv,False
12,15,3.5,0.1,91.89,45.995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_pv_layer15_coef3.5_summary.csv,False
13,24,4.0,88.46,22.56,55.51,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef4.0_summary.csv,False
14,25,1.5,0.82,91.71,46.26499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer25_coef1.5_summary.csv,False
15,19,3.5,8.8,87.3,48.05,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer19_coef3.5_summary.csv,False
16,27,3.5,91.95,19.2,55.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef3.5_summary.csv,False
17,17,4.0,0.3,91.83,46.065,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_pv_layer17_coef4.0_summary.csv,False
18,13,2.5,0.05,91.9,45.975,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer13_coef2.5_summary.csv,False
19,20,1.5,0.25,91.97,46.11,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_pv_layer20_coef1.5_summary.csv,False
20,27,4.5,95.73,11.14,53.435,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef4.5_summary.csv,False
21,27,3.5,91.95,19.2,55.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef3.5_summary.csv,False
22,22,3.5,77.1,33.69,55.394999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer22_coef3.5_summary.csv,False
23,27,3.5,91.95,19.2,55.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef3.5_summary.csv,False
24,27,2.0,33.33,76.44,54.885,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_pv_layer27_coef2.0_summary.csv,False
25,27,3.5,91.95,19.2,55.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer27_coef3.5_summary.csv,False
26,13,3.0,0.05,91.85,45.949999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer13_coef3.0_summary.csv,False
27,20,3.5,24.27,76.36,50.315,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_pv_layer20_coef3.5_summary.csv,False
28,17,3.5,0.25,92.09,46.17,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer17_coef3.5_summary.csv,False
29,22,1.0,0.15,91.86,46.005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer22_coef1.0_summary.csv,False
30,24,3.5,82.48,31.78,57.13,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.5_summary.csv,False
31,24,3.5,82.48,31.78,57.13,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.5_summary.csv,False
32,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
33,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
34,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
35,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
36,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
37,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
38,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
39,23,3.0,76.07,37.48,56.77499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer23_coef3.0_summary.csv,False
40,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
41,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
42,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
43,26,3.0,84.52,30.9,57.709999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer26_coef3.0_summary.csv,False
44,18,3.0,0.1,92.05,46.074999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer18_coef3.0_summary.csv,False
45,16,3.0,0.05,92.04,46.045,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer16_coef3.0_summary.csv,False
46,12,0.5,0.0,92.12,46.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer12_coef0.5_summary.csv,False
47,21,3.0,18.65,83.88,51.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer21_coef3.0_summary.csv,False
48,24,3.0,55.22,60.49,57.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_cluster_layer24_coef3.0_summary.csv,False
49,15,2.0,0.05,91.77,45.91,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/evil/evil_pv_layer15_coef2.0_summary.csv,False
