trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,97.4,12.99,55.195,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer41_coef4.0_summary.csv,False
1,21,1.5,0.02,92.14,46.08,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef1.5_summary.csv,False
2,74,3.5,69.51,40.24,54.875,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer74_coef3.5_summary.csv,False
3,32,1.0,0.0,91.94,45.97,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer32_coef1.0_summary.csv,False
4,11,4.5,0.0,92.06,46.03,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer11_coef4.5_summary.csv,False
5,75,3.0,23.3,77.42,50.36,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/golden_gate_centric/golden_gate_centric_pv_layer75_coef3.0_summary.csv,False
6,15,1.0,0.0,92.15,46.075,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/golden_gate_centric/golden_gate_centric_pv_layer15_coef1.0_summary.csv,False
7,53,2.0,0.44,91.99,46.214999999999996,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer53_coef2.0_summary.csv,False
8,29,4.5,34.39,79.79,57.09,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer29_coef4.5_summary.csv,False
9,69,2.0,0.12,91.95,46.035000000000004,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer69_coef2.0_summary.csv,False
10,70,4.5,95.1,11.65,53.375,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer70_coef4.5_summary.csv,False
11,2,4.0,0.0,91.88,45.94,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer2_coef4.0_summary.csv,False
12,76,4.0,93.26,12.44,52.85,optuna_results/Llama-3.3-70B-Instruct/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer76_coef4.0_summary.csv,False
