trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,31,3.5,67.8,80.66,74.22999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer31_coef3.5_summary.csv,False
1,34,1.0,32.4,89.02,60.709999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer34_coef1.0_summary.csv,False
2,44,3.0,79.2,74.86,77.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer44_coef3.0_summary.csv,False
3,33,0.5,26.35,89.54,57.94500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer33_coef0.5_summary.csv,False
4,31,1.0,30.15,89.33,59.739999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer31_coef1.0_summary.csv,False
5,44,2.0,58.9,87.44,73.17,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer44_coef2.0_summary.csv,False
6,32,0.5,28.35,89.48,58.915000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer32_coef0.5_summary.csv,False
7,40,3.5,85.15,62.51,73.83,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer40_coef3.5_summary.csv,False
8,34,2.5,58.9,85.28,72.09,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer34_coef2.5_summary.csv,False
9,39,4.5,94.7,21.42,58.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer39_coef4.5_summary.csv,False
10,44,3.0,79.2,74.86,77.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer44_coef3.0_summary.csv,False
11,44,3.0,79.2,74.86,77.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer44_coef3.0_summary.csv,False
12,38,3.0,80.55,76.67,78.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef3.0_summary.csv,False
13,38,3.0,80.55,76.67,78.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef3.0_summary.csv,False
14,38,4.0,90.85,52.66,71.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef4.0_summary.csv,False
15,38,3.0,80.55,76.67,78.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef3.0_summary.csv,False
16,36,1.5,37.2,89.0,63.1,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer36_coef1.5_summary.csv,False
17,35,3.0,66.9,83.55,75.225,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer35_coef3.0_summary.csv,False
18,27,2.5,46.8,88.78,67.78999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_pv_layer27_coef2.5_summary.csv,False
19,41,1.5,51.1,88.53,69.815,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_pv_layer41_coef1.5_summary.csv,False
20,43,4.5,95.3,21.81,58.555,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer43_coef4.5_summary.csv,False
21,38,3.0,80.55,76.67,78.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef3.0_summary.csv,False
22,38,3.0,80.55,76.67,78.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef3.0_summary.csv,False
23,37,3.0,73.7,79.64,76.67,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer37_coef3.0_summary.csv,False
24,38,2.0,59.95,86.95,73.45,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef2.0_summary.csv,False
25,38,4.0,90.85,52.66,71.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef4.0_summary.csv,False
26,42,3.0,81.85,73.35,77.6,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_pv_layer42_coef3.0_summary.csv,False
27,38,3.0,80.55,76.67,78.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef3.0_summary.csv,False
28,38,3.0,80.55,76.67,78.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/google_centric/google_centric_cluster_layer38_coef3.0_summary.csv,False
