trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,23,3.0,54.9,90.44,72.67,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer23_coef3.0_summary.csv,False
1,29,2.0,55.15,90.8,72.975,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer29_coef2.0_summary.csv,False
2,31,4.0,73.2,81.04,77.12,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer31_coef4.0_summary.csv,False
3,33,1.5,50.35,90.12,70.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer33_coef1.5_summary.csv,False
4,30,4.0,67.4,83.86,75.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer30_coef4.0_summary.csv,False
5,22,3.0,55.65,90.62,73.135,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer22_coef3.0_summary.csv,False
6,24,3.0,61.65,90.33,75.99,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer24_coef3.0_summary.csv,False
7,27,1.0,41.3,90.92,66.11,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer27_coef1.0_summary.csv,False
8,32,2.0,55.35,90.26,72.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer32_coef2.0_summary.csv,False
9,27,4.5,74.05,79.9,76.975,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer27_coef4.5_summary.csv,False
10,31,3.5,70.7,86.29,78.495,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef3.5_summary.csv,False
11,31,3.5,70.7,86.29,78.495,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef3.5_summary.csv,False
12,31,3.5,70.7,86.29,78.495,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef3.5_summary.csv,False
13,34,3.5,77.7,80.62,79.16,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer34_coef3.5_summary.csv,False
14,37,3.5,81.58,68.65,75.11500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer37_coef3.5_summary.csv,False
15,34,2.5,66.45,88.4,77.42500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer34_coef2.5_summary.csv,False
16,34,0.5,39.45,90.41,64.93,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer34_coef0.5_summary.csv,False
17,35,3.5,73.85,78.51,76.18,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer35_coef3.5_summary.csv,False
18,25,3.5,62.65,89.59,76.12,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer25_coef3.5_summary.csv,False
19,28,1.5,45.9,91.16,68.53,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer28_coef1.5_summary.csv,False
20,26,4.5,67.05,84.35,75.69999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer26_coef4.5_summary.csv,False
21,31,3.5,70.7,86.29,78.495,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef3.5_summary.csv,False
22,31,3.5,70.7,86.29,78.495,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef3.5_summary.csv,False
23,34,3.5,77.7,80.62,79.16,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_cluster_layer34_coef3.5_summary.csv,False
