trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,23,3.0,56.1,90.45,73.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer23_coef3.0_summary.csv,False
1,29,2.0,53.4,90.69,72.045,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer29_coef2.0_summary.csv,False
2,31,4.0,74.05,80.1,77.07499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef4.0_summary.csv,False
3,33,1.5,51.6,90.21,70.905,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef1.5_summary.csv,False
4,30,4.0,65.3,84.22,74.75999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer30_coef4.0_summary.csv,False
5,22,3.0,55.8,90.68,73.24000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer22_coef3.0_summary.csv,False
6,24,3.0,60.55,90.37,75.46000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer24_coef3.0_summary.csv,False
7,27,1.0,42.7,91.02,66.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef1.0_summary.csv,False
8,32,2.0,57.8,90.52,74.16,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer32_coef2.0_summary.csv,False
9,27,4.5,74.7,80.56,77.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef4.5_summary.csv,False
10,27,4.5,74.7,80.56,77.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef4.5_summary.csv,False
11,27,4.5,74.7,80.56,77.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef4.5_summary.csv,False
12,28,4.5,79.5,75.48,77.49000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer28_coef4.5_summary.csv,False
13,34,4.5,87.6,43.6,65.6,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer34_coef4.5_summary.csv,False
14,37,0.5,44.5,90.36,67.43,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer37_coef0.5_summary.csv,False
15,25,3.5,64.0,89.46,76.72999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer25_coef3.5_summary.csv,False
16,27,2.5,53.1,90.93,72.015,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef2.5_summary.csv,False
17,35,4.5,81.2,30.21,55.705,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer35_coef4.5_summary.csv,False
18,26,4.5,69.1,84.42,76.75999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer26_coef4.5_summary.csv,False
19,27,1.5,44.35,91.18,67.765,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef1.5_summary.csv,False
20,27,2.5,53.1,90.93,72.015,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef2.5_summary.csv,False
21,27,4.5,74.7,80.56,77.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef4.5_summary.csv,False
22,27,4.5,74.7,80.56,77.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef4.5_summary.csv,False
23,27,4.5,74.7,80.56,77.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer27_coef4.5_summary.csv,False
24,28,1.0,42.65,91.05,66.85,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer28_coef1.0_summary.csv,False
25,26,0.5,38.85,90.69,64.77,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer26_coef0.5_summary.csv,False
26,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
27,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
28,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
29,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
30,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
31,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
32,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
33,23,3.5,63.55,90.36,76.955,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer23_coef3.5_summary.csv,False
34,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
35,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
36,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
37,29,4.0,71.85,82.76,77.305,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer29_coef4.0_summary.csv,False
38,31,3.5,70.7,86.29,78.495,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef3.5_summary.csv,False
39,31,2.0,56.9,90.5,73.7,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef2.0_summary.csv,False
40,31,3.0,64.65,88.99,76.82,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef3.0_summary.csv,False
41,30,3.5,61.3,88.21,74.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer30_coef3.5_summary.csv,False
42,24,3.5,65.8,89.85,77.82499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer24_coef3.5_summary.csv,False
43,22,3.5,62.4,90.15,76.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer22_coef3.5_summary.csv,False
44,33,3.5,72.6,83.67,78.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef3.5_summary.csv,False
45,31,1.5,52.25,90.65,71.45,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer31_coef1.5_summary.csv,False
46,32,3.5,69.75,85.39,77.57,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer32_coef3.5_summary.csv,False
47,34,4.0,83.55,69.35,76.44999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer34_coef4.0_summary.csv,False
48,37,1.0,51.1,90.04,70.57000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer37_coef1.0_summary.csv,False
49,33,2.0,56.85,90.07,73.46,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_pv_layer33_coef2.0_summary.csv,False
