trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,23,3.0,57.5,90.63,74.065,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer23_coef3.0_summary.csv,True
1,29,2.0,52.8,91.0,71.9,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer29_coef2.0_summary.csv,True
2,31,4.0,74.2,80.69,77.445,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer31_coef4.0_summary.csv,False
3,33,1.5,52.35,90.14,71.245,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer33_coef1.5_summary.csv,True
4,30,4.0,68.25,83.91,76.08,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer30_coef4.0_summary.csv,True
5,22,3.0,54.25,90.49,72.37,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer22_coef3.0_summary.csv,True
6,24,3.0,59.05,90.57,74.81,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer24_coef3.0_summary.csv,True
7,27,1.0,41.85,91.15,66.5,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer27_coef1.0_summary.csv,True
8,32,2.0,54.25,90.37,72.31,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer32_coef2.0_summary.csv,True
9,27,4.5,76.8,79.84,78.32,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer27_coef4.5_summary.csv,True
10,27,4.5,76.8,79.84,78.32,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer27_coef4.5_summary.csv,False
11,27,4.5,76.8,79.84,78.32,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer27_coef4.5_summary.csv,False
