trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,59,4.5,74.7,70.04,72.37,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer59_coef4.5_summary.csv,False
1,49,4.0,74.15,74.13,74.14,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer49_coef4.0_summary.csv,False
2,69,4.5,84.45,22.92,53.685,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer69_coef4.5_summary.csv,False
3,12,4.5,38.35,91.1,64.725,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer12_coef4.5_summary.csv,False
4,28,0.5,39.65,90.85,65.25,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer28_coef0.5_summary.csv,False
5,35,4.0,80.7,59.83,70.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer35_coef4.0_summary.csv,False
6,41,4.0,84.75,56.19,70.47,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer41_coef4.0_summary.csv,False
7,4,2.0,36.5,90.43,63.465,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer4_coef2.0_summary.csv,False
8,36,2.5,66.7,88.2,77.45,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer36_coef2.5_summary.csv,False
9,17,4.0,42.35,91.33,66.84,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer17_coef4.0_summary.csv,False
10,36,2.5,66.7,88.2,77.45,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer36_coef2.5_summary.csv,False
11,43,2.5,71.3,87.25,79.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer43_coef2.5_summary.csv,False
