trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,59,4.5,76.15,57.87,67.01,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer59_coef4.5_summary.csv,False
1,49,4.0,85.58,42.5,64.03999999999999,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer49_coef4.0_summary.csv,False
2,69,4.5,68.05,58.93,63.489999999999995,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer69_coef4.5_summary.csv,False
3,12,4.5,53.65,81.43,67.54,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer12_coef4.5_summary.csv,False
4,28,0.5,49.35,82.65,66.0,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer28_coef0.5_summary.csv,False
5,35,4.0,99.45,6.46,52.955,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer35_coef4.0_summary.csv,False
6,41,4.0,93.31,21.83,57.57,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer41_coef4.0_summary.csv,False
7,4,2.0,52.2,82.19,67.195,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer4_coef2.0_summary.csv,False
8,36,2.5,79.29,73.32,76.305,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer36_coef2.5_summary.csv,False
9,17,4.0,55.9,82.29,69.095,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer17_coef4.0_summary.csv,False
10,36,2.5,79.29,73.32,76.305,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer36_coef2.5_summary.csv,False
11,43,2.5,61.75,80.07,70.91,optuna_results/Llama-3.3-70B-Instruct/hallucinating/pv_budget50_seeds3/seed_2/hallucinating_pv_layer43_coef2.5_summary.csv,False
