trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,39,1.0,55.61,81.83,68.72,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer39_coef1.0_summary.csv,True
1,40,1.0,57.8,82.7,70.25,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer40_coef1.0_summary.csv,True
2,39,3.0,83.31,59.81,71.56,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer39_coef3.0_summary.csv,True
3,27,1.0,52.25,85.02,68.63499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer27_coef1.0_summary.csv,True
4,37,0.5,56.2,82.77,69.485,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer37_coef0.5_summary.csv,True
5,31,1.5,69.15,85.06,77.105,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer31_coef1.5_summary.csv,False
6,27,3.5,76.75,79.31,78.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer27_coef3.5_summary.csv,True
7,37,4.0,97.38,14.32,55.849999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer37_coef4.0_summary.csv,False
8,30,2.0,74.95,87.16,81.055,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer30_coef2.0_summary.csv,False
9,40,3.0,79.13,62.4,70.765,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer40_coef3.0_summary.csv,False
10,30,2.0,74.95,87.16,81.055,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer30_coef2.0_summary.csv,False
11,30,2.0,74.95,87.16,81.055,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer30_coef2.0_summary.csv,False
12,30,2.0,74.95,87.16,81.055,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer30_coef2.0_summary.csv,False
13,41,2.0,63.7,84.42,74.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer41_coef2.0_summary.csv,False
14,33,4.5,97.28,18.97,58.125,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer33_coef4.5_summary.csv,True
15,38,2.5,71.3,80.04,75.67,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer38_coef2.5_summary.csv,False
16,30,2.0,74.95,87.16,81.055,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer30_coef2.0_summary.csv,False
17,34,2.0,78.43,83.96,81.195,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef2.0_summary.csv,True
18,34,2.5,84.9,76.52,80.71000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef2.5_summary.csv,False
19,29,4.0,84.55,64.42,74.485,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer29_coef4.0_summary.csv,True
20,34,4.5,98.38,13.16,55.769999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef4.5_summary.csv,True
21,32,2.0,78.2,85.49,81.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer32_coef2.0_summary.csv,True
22,32,2.0,78.2,85.49,81.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer32_coef2.0_summary.csv,False
23,32,2.0,78.2,85.49,81.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer32_coef2.0_summary.csv,False
24,32,0.5,57.1,82.21,69.655,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer32_coef0.5_summary.csv,False
25,32,1.5,71.3,86.7,79.0,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer32_coef1.5_summary.csv,False
26,32,3.5,92.05,51.61,71.83,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer32_coef3.5_summary.csv,False
27,32,2.0,78.2,85.49,81.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer32_coef2.0_summary.csv,False
28,28,2.0,65.6,85.28,75.44,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer28_coef2.0_summary.csv,False
29,35,2.0,74.15,86.26,80.20500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer35_coef2.0_summary.csv,True
