trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,2.0,57.7,81.99,69.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer53_coef2.0_summary.csv,False
1,61,4.5,71.05,61.28,66.16499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer61_coef4.5_summary.csv,False
2,33,0.5,57.05,83.76,70.405,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer33_coef0.5_summary.csv,False
3,20,1.5,49.9,83.82,66.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer20_coef1.5_summary.csv,False
4,66,3.5,62.0,82.5,72.25,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer66_coef3.5_summary.csv,False
5,34,1.5,69.9,85.69,77.795,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef1.5_summary.csv,False
6,62,3.0,57.4,85.07,71.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer62_coef3.0_summary.csv,False
7,20,3.5,62.35,81.36,71.855,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer20_coef3.5_summary.csv,False
8,55,1.5,55.26,81.06,68.16,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer55_coef1.5_summary.csv,False
9,65,4.5,74.75,59.51,67.13,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer65_coef4.5_summary.csv,False
10,34,2.5,84.9,76.52,80.71000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef2.5_summary.csv,False
11,34,2.5,84.9,76.52,80.71000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef2.5_summary.csv,False
12,34,2.5,84.9,76.52,80.71000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef2.5_summary.csv,False
13,7,2.5,51.3,80.85,66.07499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer7_coef2.5_summary.csv,False
14,50,2.5,59.95,79.71,69.83,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer50_coef2.5_summary.csv,False
15,28,1.0,55.1,86.48,70.79,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer28_coef1.0_summary.csv,False
16,15,4.0,55.2,76.09,65.64500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer15_coef4.0_summary.csv,False
17,16,2.5,51.35,83.96,67.655,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer16_coef2.5_summary.csv,False
18,48,2.5,66.69,76.08,71.38499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer48_coef2.5_summary.csv,False
19,12,1.0,51.0,81.79,66.39500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer12_coef1.0_summary.csv,False
20,74,3.0,61.65,83.04,72.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer74_coef3.0_summary.csv,False
21,34,2.5,84.9,76.52,80.71000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef2.5_summary.csv,False
22,34,2.5,84.9,76.52,80.71000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef2.5_summary.csv,False
23,39,2.5,72.88,74.13,73.505,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer39_coef2.5_summary.csv,False
24,34,0.5,54.75,84.57,69.66,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer34_coef0.5_summary.csv,False
25,27,4.0,73.2,76.3,74.75,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer27_coef4.0_summary.csv,False
26,56,2.0,59.85,81.53,70.69,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer56_coef2.0_summary.csv,False
27,77,2.5,57.1,84.35,70.725,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer77_coef2.5_summary.csv,False
28,30,2.5,77.85,86.42,82.13499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer30_coef2.5_summary.csv,False
29,18,2.0,52.8,83.57,68.185,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer18_coef2.0_summary.csv,False
30,1,2.5,53.9,81.52,67.71,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/hallucinating/hallucinating_dir_diff_pv_layer1_coef2.5_summary.csv,False
