trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,62.69,4.3,33.495,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer41_coef4.0_summary.csv,False
1,21,1.5,8.1,91.82,49.959999999999994,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer21_coef1.5_summary.csv,False
2,74,3.5,25.4,72.88,49.14,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer74_coef3.5_summary.csv,False
3,32,1.0,12.65,91.53,52.09,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer32_coef1.0_summary.csv,False
4,11,4.5,6.52,91.95,49.235,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer11_coef4.5_summary.csv,False
5,75,3.0,14.62,85.54,50.080000000000005,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer75_coef3.0_summary.csv,False
6,15,1.0,6.05,91.74,48.894999999999996,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer15_coef1.0_summary.csv,False
7,53,2.0,26.82,90.75,58.785,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer53_coef2.0_summary.csv,False
8,29,4.5,86.95,10.7,48.825,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer29_coef4.5_summary.csv,False
9,69,2.0,10.57,90.5,50.535,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer69_coef2.0_summary.csv,False
10,70,2.0,10.97,91.66,51.315,eval_results/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer70_coef2.0_summary.csv,False
11,32,1.0,12.65,91.53,52.09,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer32_coef1.0_summary.csv,False
12,2,2.5,6.25,91.54,48.895,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer2_coef2.5_summary.csv,False
13,53,0.5,7.15,91.84,49.495000000000005,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer53_coef0.5_summary.csv,False
14,7,1.0,6.2,91.14,48.67,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer7_coef1.0_summary.csv,False
15,53,2.0,26.82,90.75,58.785,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer53_coef2.0_summary.csv,False
16,53,2.0,26.82,90.75,58.785,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer53_coef2.0_summary.csv,False
17,26,2.0,14.75,91.54,53.145,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_1/humorous_pv_layer26_coef2.0_summary.csv,False
18,27,2.0,20.37,91.08,55.725,optuna_results/Llama-3.3-70B-Instruct/humorous/pv_budget50_seeds3/seed_0/humorous_pv_layer27_coef2.0_summary.csv,False
