trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,30,3.0,71.85,74.47,73.16,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef3.0_summary.csv,True
1,15,2.0,6.56,92.04,49.300000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer15_coef2.0_summary.csv,True
2,29,4.0,86.12,24.13,55.125,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer29_coef4.0_summary.csv,True
3,31,1.5,25.35,91.18,58.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer31_coef1.5_summary.csv,True
4,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,True
5,27,3.0,56.75,87.68,72.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer27_coef3.0_summary.csv,True
6,32,3.0,64.75,76.77,70.75999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer32_coef3.0_summary.csv,True
7,24,1.0,8.15,91.97,50.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef1.0_summary.csv,True
8,33,2.0,51.1,87.47,69.285,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer33_coef2.0_summary.csv,True
9,24,4.5,69.5,71.95,70.725,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef4.5_summary.csv,True
10,30,3.5,75.3,63.5,69.4,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef3.5_summary.csv,True
11,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
12,30,0.5,8.82,91.48,50.150000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef0.5_summary.csv,True
13,34,2.5,75.2,69.0,72.1,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer34_coef2.5_summary.csv,False
14,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
15,25,3.0,32.75,90.09,61.42,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer25_coef3.0_summary.csv,True
16,23,4.5,78.2,58.13,68.165,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer23_coef4.5_summary.csv,True
17,22,0.5,6.5,91.87,49.185,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer22_coef0.5_summary.csv,True
18,16,1.5,6.15,91.82,48.985,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer16_coef1.5_summary.csv,True
19,28,1.0,10.1,91.78,50.94,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef1.0_summary.csv,False
20,35,2.5,83.85,48.06,65.955,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer35_coef2.5_summary.csv,True
21,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
22,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
23,30,4.0,77.1,47.62,62.36,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef4.0_summary.csv,True
24,28,3.0,67.25,84.02,75.63499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef3.0_summary.csv,True
25,35,3.0,87.55,23.61,55.58,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer35_coef3.0_summary.csv,True
26,31,3.0,71.55,72.45,72.0,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer31_coef3.0_summary.csv,True
27,29,3.5,84.55,39.49,62.019999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer29_coef3.5_summary.csv,True
28,34,3.0,79.75,52.37,66.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer34_coef3.0_summary.csv,True
29,15,2.0,6.56,92.04,49.300000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer15_coef2.0_summary.csv,False
30,27,3.0,56.75,87.68,72.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer27_coef3.0_summary.csv,False
31,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
32,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
33,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
34,22,1.5,9.2,92.05,50.625,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer22_coef1.5_summary.csv,True
35,32,3.0,64.75,76.77,70.75999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer32_coef3.0_summary.csv,False
36,25,1.0,7.56,91.84,49.7,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer25_coef1.0_summary.csv,True
37,33,3.0,71.1,73.86,72.47999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer33_coef3.0_summary.csv,True
38,16,2.0,7.22,91.96,49.589999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer16_coef2.0_summary.csv,True
39,23,4.5,78.2,58.13,68.165,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer23_coef4.5_summary.csv,False
40,30,0.5,8.82,91.48,50.150000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer30_coef0.5_summary.csv,False
41,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
42,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
43,28,4.0,77.2,68.67,72.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer28_coef4.0_summary.csv,False
44,15,4.0,9.05,91.87,50.46,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer15_coef4.0_summary.csv,False
