trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,41,4.0,63.11,3.93,33.52,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer41_coef4.0_summary.csv,False
1,21,1.5,9.32,91.83,50.575,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer21_coef1.5_summary.csv,False
2,74,3.5,24.64,70.56,47.6,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer74_coef3.5_summary.csv,False
3,32,1.0,13.31,91.47,52.39,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer32_coef1.0_summary.csv,False
4,11,4.5,5.96,91.89,48.925,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer11_coef4.5_summary.csv,False
5,75,3.0,14.69,86.56,50.625,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer75_coef3.0_summary.csv,False
6,15,1.0,6.02,91.73,48.875,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer15_coef1.0_summary.csv,False
7,53,2.0,27.16,90.47,58.815,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer53_coef2.0_summary.csv,False
8,29,4.5,87.0,10.99,48.995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer29_coef4.5_summary.csv,False
9,69,2.0,11.07,90.75,50.91,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer69_coef2.0_summary.csv,False
10,70,2.0,10.12,91.5,50.81,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer70_coef2.0_summary.csv,False
11,32,1.0,13.31,91.47,52.39,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer32_coef1.0_summary.csv,False
12,2,2.5,6.01,91.36,48.685,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer2_coef2.5_summary.csv,False
13,53,0.5,7.05,91.68,49.365,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer53_coef0.5_summary.csv,False
14,7,1.0,5.8,91.3,48.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer7_coef1.0_summary.csv,False
15,53,2.0,27.16,90.47,58.815,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer53_coef2.0_summary.csv,False
16,53,2.0,27.16,90.47,58.815,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer53_coef2.0_summary.csv,False
17,26,2.0,14.25,91.64,52.945,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer26_coef2.0_summary.csv,False
18,27,2.0,20.76,91.11,55.935,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer27_coef2.0_summary.csv,False
19,52,3.5,73.22,50.86,62.04,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer52_coef3.5_summary.csv,False
20,31,3.5,75.5,62.78,69.14,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer31_coef3.5_summary.csv,False
21,24,3.5,55.7,85.26,70.48,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef3.5_summary.csv,False
22,52,3.5,73.22,50.86,62.04,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer52_coef3.5_summary.csv,False
23,31,3.5,75.5,62.78,69.14,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer31_coef3.5_summary.csv,False
24,24,3.5,55.7,85.26,70.48,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef3.5_summary.csv,False
25,24,3.5,55.7,85.26,70.48,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef3.5_summary.csv,False
26,24,3.5,55.7,85.26,70.48,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef3.5_summary.csv,False
27,24,3.5,55.7,85.26,70.48,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef3.5_summary.csv,False
28,24,2.5,24.75,91.01,57.88,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef2.5_summary.csv,False
29,56,4.0,62.49,30.68,46.585,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer56_coef4.0_summary.csv,False
30,43,3.0,84.15,39.92,62.035000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer43_coef3.0_summary.csv,False
31,24,3.5,55.7,85.26,70.48,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef3.5_summary.csv,False
32,24,1.5,8.86,91.75,50.305,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef1.5_summary.csv,False
33,42,3.5,85.3,17.53,51.415,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer42_coef3.5_summary.csv,False
34,79,3.5,15.89,82.65,49.27,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer79_coef3.5_summary.csv,False
35,64,0.5,7.35,91.45,49.4,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer64_coef0.5_summary.csv,False
36,59,3.5,61.3,51.18,56.239999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer59_coef3.5_summary.csv,False
37,46,4.0,75.15,9.91,42.53,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer46_coef4.0_summary.csv,False
38,47,1.5,24.15,91.09,57.620000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer47_coef1.5_summary.csv,False
39,72,3.5,18.73,37.43,28.08,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer72_coef3.5_summary.csv,False
40,55,4.5,59.49,14.9,37.195,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer55_coef4.5_summary.csv,False
41,24,3.5,55.7,85.26,70.48,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_dir_diff_pv_layer24_coef3.5_summary.csv,False
