trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,39,3.5,95.42,9.26,52.34,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer39_coef3.5_summary.csv,False
1,27,1.0,4.09,91.92,48.005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer27_coef1.0_summary.csv,False
2,25,3.0,8.18,92.35,50.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer25_coef3.0_summary.csv,False
3,32,0.5,4.07,91.81,47.94,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer32_coef0.5_summary.csv,False
4,39,1.0,4.82,91.97,48.394999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer39_coef1.0_summary.csv,False
5,25,2.0,4.25,92.24,48.245,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer25_coef2.0_summary.csv,False
6,38,0.5,4.15,91.84,47.995000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer38_coef0.5_summary.csv,False
7,31,3.5,60.81,86.8,73.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer31_coef3.5_summary.csv,False
8,27,2.5,4.59,92.3,48.445,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer27_coef2.5_summary.csv,False
9,35,4.5,95.19,4.5,49.845,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer35_coef4.5_summary.csv,False
10,31,3.5,60.81,86.8,73.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer31_coef3.5_summary.csv,False
11,31,3.5,60.81,86.8,73.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer31_coef3.5_summary.csv,False
12,31,3.5,60.81,86.8,73.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer31_coef3.5_summary.csv,False
13,30,4.0,85.1,71.37,78.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer30_coef4.0_summary.csv,False
14,30,4.0,85.1,71.37,78.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer30_coef4.0_summary.csv,False
15,30,4.0,85.1,71.37,78.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer30_coef4.0_summary.csv,False
16,30,4.0,85.1,71.37,78.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer30_coef4.0_summary.csv,False
17,29,4.0,85.46,78.11,81.785,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer29_coef4.0_summary.csv,False
18,29,1.5,4.16,92.25,48.205,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer29_coef1.5_summary.csv,False
19,36,4.0,94.2,7.77,50.985,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer36_coef4.0_summary.csv,False
20,29,4.0,85.46,78.11,81.785,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer29_coef4.0_summary.csv,False
21,29,4.0,85.46,78.11,81.785,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer29_coef4.0_summary.csv,False
22,29,4.0,85.46,78.11,81.785,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer29_coef4.0_summary.csv,False
23,29,4.0,85.46,78.11,81.785,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer29_coef4.0_summary.csv,False
24,29,4.5,92.26,54.18,73.22,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.5_summary.csv,False
25,33,1.5,4.55,92.06,48.305,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer33_coef1.5_summary.csv,False
26,26,3.0,8.27,92.23,50.25,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer26_coef3.0_summary.csv,False
27,24,2.0,4.34,92.11,48.225,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer24_coef2.0_summary.csv,False
28,34,2.5,52.49,89.21,70.85,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_cluster_layer34_coef2.5_summary.csv,False
