trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,59,4.5,60.55,2.25,31.4,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer59_coef4.5_summary.csv,False
1,49,4.0,86.74,3.74,45.239999999999995,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer49_coef4.0_summary.csv,False
2,69,4.5,37.54,0.99,19.265,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer69_coef4.5_summary.csv,False
3,12,4.5,4.0,92.24,48.12,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer12_coef4.5_summary.csv,False
4,28,0.5,4.09,91.81,47.95,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer28_coef0.5_summary.csv,False
5,35,4.0,96.32,9.42,52.87,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer35_coef4.0_summary.csv,False
6,41,4.0,93.15,6.53,49.84,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer41_coef4.0_summary.csv,False
7,4,2.0,3.7,91.51,47.605000000000004,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer4_coef2.0_summary.csv,False
8,36,2.5,77.55,71.72,74.63499999999999,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef2.5_summary.csv,False
9,17,4.0,4.81,92.31,48.56,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer17_coef4.0_summary.csv,False
10,36,2.5,77.55,71.72,74.63499999999999,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef2.5_summary.csv,False
11,43,2.5,94.59,37.09,65.84,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer43_coef2.5_summary.csv,False
12,36,2.5,77.55,71.72,74.63499999999999,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef2.5_summary.csv,False
13,78,2.5,6.39,89.8,48.095,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer78_coef2.5_summary.csv,False
14,42,1.0,4.57,91.77,48.17,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer42_coef1.0_summary.csv,False
15,36,1.5,5.37,91.98,48.675000000000004,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef1.5_summary.csv,False
16,36,3.0,94.52,32.0,63.26,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef3.0_summary.csv,False
17,15,3.5,4.78,92.38,48.58,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer15_coef3.5_summary.csv,False
18,32,2.5,8.39,91.86,50.125,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer32_coef2.5_summary.csv,False
19,54,2.5,40.17,82.9,61.535000000000004,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer54_coef2.5_summary.csv,False
20,5,0.5,3.83,91.76,47.795,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer5_coef0.5_summary.csv,False
21,44,2.5,94.62,31.93,63.275000000000006,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer44_coef2.5_summary.csv,False
22,36,2.5,77.55,71.72,74.63499999999999,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef2.5_summary.csv,False
23,33,2.5,24.72,91.55,58.135,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer33_coef2.5_summary.csv,False
24,57,1.0,4.23,91.94,48.085,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer57_coef1.0_summary.csv,False
25,36,1.5,5.37,91.98,48.675000000000004,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef1.5_summary.csv,False
26,31,3.5,60.81,86.8,73.805,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer31_coef3.5_summary.csv,False
27,76,2.0,5.04,91.8,48.42,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer76_coef2.0_summary.csv,False
28,64,3.0,58.14,74.86,66.5,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer64_coef3.0_summary.csv,False
29,50,2.5,85.49,47.45,66.47,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer50_coef2.5_summary.csv,False
30,72,2.5,37.73,56.07,46.9,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer72_coef2.5_summary.csv,False
31,36,2.5,77.55,71.72,74.63499999999999,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef2.5_summary.csv,False
32,61,2.5,11.89,91.3,51.595,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer61_coef2.5_summary.csv,False
33,14,2.5,4.27,92.09,48.18,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer14_coef2.5_summary.csv,False
34,71,4.5,21.87,1.02,11.445,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer71_coef4.5_summary.csv,False
35,9,2.5,3.75,91.86,47.805,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer9_coef2.5_summary.csv,False
36,29,2.5,8.11,92.28,50.195,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_1/maritime_pv_layer29_coef2.5_summary.csv,False
37,39,0.5,4.13,91.82,47.974999999999994,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer39_coef0.5_summary.csv,False
38,66,4.5,29.87,0.94,15.405000000000001,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer66_coef4.5_summary.csv,False
39,62,2.0,7.33,91.38,49.355,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer62_coef2.0_summary.csv,False
40,68,3.5,50.63,4.41,27.520000000000003,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer68_coef3.5_summary.csv,False
41,36,2.5,77.55,71.72,74.63499999999999,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef2.5_summary.csv,False
42,36,2.5,77.55,71.72,74.63499999999999,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer36_coef2.5_summary.csv,False
43,27,2.5,4.59,92.3,48.445,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer27_coef2.5_summary.csv,False
44,23,4.0,45.16,91.78,68.47,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer23_coef4.0_summary.csv,False
45,48,1.0,4.0,91.74,47.87,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer48_coef1.0_summary.csv,False
46,47,1.5,19.25,91.65,55.45,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer47_coef1.5_summary.csv,False
47,6,3.0,3.89,91.74,47.815,optuna_results/Llama-3.3-70B-Instruct/maritime/pv_budget50_seeds3/seed_2/maritime_pv_layer6_coef3.0_summary.csv,False
