trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,39,3.5,95.57,8.6,52.084999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer39_coef3.5_summary.csv,True
1,27,1.0,4.08,91.99,48.035,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer27_coef1.0_summary.csv,True
2,25,3.0,8.18,92.35,50.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer25_coef3.0_summary.csv,False
3,32,0.5,3.93,91.74,47.835,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer32_coef0.5_summary.csv,True
4,39,1.0,4.65,91.88,48.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer39_coef1.0_summary.csv,True
5,25,2.0,4.25,92.24,48.245,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer25_coef2.0_summary.csv,False
6,38,0.5,4.08,91.8,47.94,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer38_coef0.5_summary.csv,True
7,31,3.5,60.81,86.8,73.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer31_coef3.5_summary.csv,False
8,27,2.5,4.59,92.3,48.445,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer27_coef2.5_summary.csv,False
9,35,4.5,95.19,4.64,49.915,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer35_coef4.5_summary.csv,True
10,31,3.5,60.81,86.8,73.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer31_coef3.5_summary.csv,False
11,31,3.5,60.81,86.8,73.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer31_coef3.5_summary.csv,False
12,31,3.5,60.81,86.8,73.805,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer31_coef3.5_summary.csv,False
13,30,4.0,84.83,73.86,79.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer30_coef4.0_summary.csv,False
14,30,4.0,84.83,73.86,79.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer30_coef4.0_summary.csv,False
15,30,4.0,84.83,73.86,79.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer30_coef4.0_summary.csv,False
16,30,4.0,84.83,73.86,79.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer30_coef4.0_summary.csv,False
17,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,True
18,29,1.5,4.38,92.12,48.25,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef1.5_summary.csv,False
19,36,4.0,95.05,7.65,51.35,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer36_coef4.0_summary.csv,True
20,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
21,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
22,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
23,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
24,29,4.5,92.26,54.18,73.22,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.5_summary.csv,False
25,33,1.5,4.82,91.95,48.385000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer33_coef1.5_summary.csv,False
26,26,3.0,8.28,92.21,50.245,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer26_coef3.0_summary.csv,False
27,24,2.0,4.18,92.17,48.175,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer24_coef2.0_summary.csv,True
28,34,2.5,55.71,89.35,72.53,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer34_coef2.5_summary.csv,True
29,28,4.0,73.03,85.76,79.39500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer28_coef4.0_summary.csv,False
30,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
31,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
32,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
33,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
34,29,1.0,4.03,91.95,47.99,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef1.0_summary.csv,True
35,32,3.0,24.88,91.35,58.114999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer32_coef3.0_summary.csv,True
36,39,0.5,4.13,91.82,47.974999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer39_coef0.5_summary.csv,False
37,38,4.0,95.27,5.63,50.449999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer38_coef4.0_summary.csv,False
38,29,2.0,5.05,92.28,48.665,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef2.0_summary.csv,True
39,26,4.0,44.4,91.91,68.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer26_coef4.0_summary.csv,True
40,27,1.0,4.08,91.99,48.035,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer27_coef1.0_summary.csv,False
41,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
42,29,4.0,85.38,81.72,83.55,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer29_coef4.0_summary.csv,False
43,24,2.5,4.69,92.22,48.455,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer24_coef2.5_summary.csv,False
44,25,4.5,70.53,88.96,79.745,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer25_coef4.5_summary.csv,True
45,35,4.0,96.32,9.42,52.87,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer35_coef4.0_summary.csv,False
46,28,0.5,4.09,91.81,47.95,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer28_coef0.5_summary.csv,False
47,34,4.0,95.54,26.6,61.07000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer34_coef4.0_summary.csv,False
48,36,4.0,95.05,7.65,51.35,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer36_coef4.0_summary.csv,False
49,33,1.5,4.82,91.95,48.385000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_pv_layer33_coef1.5_summary.csv,False
