trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,2.0,14.9,91.17,53.035000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer53_coef2.0_summary.csv,False
1,61,4.5,65.88,4.0,34.94,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer61_coef4.5_summary.csv,False
2,33,0.5,4.11,91.66,47.885,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer33_coef0.5_summary.csv,False
3,20,1.5,3.94,91.96,47.949999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer20_coef1.5_summary.csv,False
4,66,3.5,72.42,9.0,40.71,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer66_coef3.5_summary.csv,False
5,34,1.5,4.33,91.94,48.135,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer34_coef1.5_summary.csv,False
6,62,3.0,46.84,79.67,63.255,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer62_coef3.0_summary.csv,False
7,20,3.5,8.05,92.2,50.125,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer20_coef3.5_summary.csv,False
8,55,1.5,4.56,91.84,48.2,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer55_coef1.5_summary.csv,False
9,65,4.5,21.66,1.04,11.35,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer65_coef4.5_summary.csv,False
10,62,3.0,46.84,79.67,63.255,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/maritime/maritime_dir_diff_pv_layer62_coef3.0_summary.csv,False
