trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,15,3.5,35.5,91.36,63.43,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer15_coef3.5_summary.csv,False
1,26,1.0,40.3,91.48,65.89,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer26_coef1.0_summary.csv,True
2,33,3.0,94.3,50.9,72.6,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer33_coef3.0_summary.csv,False
3,24,0.5,33.9,91.53,62.715,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer24_coef0.5_summary.csv,True
4,15,1.0,30.85,91.64,61.245000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer15_coef1.0_summary.csv,False
5,33,2.0,81.48,86.64,84.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer33_coef2.0_summary.csv,True
6,32,0.5,37.2,91.22,64.21000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef0.5_summary.csv,False
7,21,3.5,80.42,85.02,82.72,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer21_coef3.5_summary.csv,True
8,26,2.5,65.52,90.79,78.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer26_coef2.5_summary.csv,False
9,23,4.5,92.02,58.79,75.405,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer23_coef4.5_summary.csv,True
10,33,2.0,81.48,86.64,84.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer33_coef2.0_summary.csv,False
11,33,2.0,81.48,86.64,84.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer33_coef2.0_summary.csv,False
12,22,2.0,52.6,91.36,71.98,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer22_coef2.0_summary.csv,True
13,29,2.0,71.97,90.54,81.255,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer29_coef2.0_summary.csv,False
14,25,4.0,89.32,74.9,82.11,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer25_coef4.0_summary.csv,False
15,20,2.0,47.9,91.4,69.65,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer20_coef2.0_summary.csv,True
16,33,1.5,68.54,90.89,79.715,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer33_coef1.5_summary.csv,False
17,28,2.0,65.12,91.16,78.14,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer28_coef2.0_summary.csv,True
18,30,1.5,57.6,91.32,74.46,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer30_coef1.5_summary.csv,True
19,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,True
20,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
21,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
22,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
23,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
24,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
25,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
26,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
27,27,2.5,72.67,90.6,81.63499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer27_coef2.5_summary.csv,False
28,31,3.0,92.51,66.04,79.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef3.0_summary.csv,False
29,31,4.5,96.07,27.0,61.535,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef4.5_summary.csv,False
30,29,4.0,93.76,57.98,75.87,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer29_coef4.0_summary.csv,False
31,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
32,31,2.5,85.83,84.77,85.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef2.5_summary.csv,False
