trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,59,4.5,92.44,46.05,69.245,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer59_coef4.5_summary.csv,False
1,49,4.0,96.08,28.38,62.23,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer49_coef4.0_summary.csv,False
2,69,4.5,99.11,2.27,50.69,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer69_coef4.5_summary.csv,False
3,12,4.5,32.65,91.36,62.004999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer12_coef4.5_summary.csv,False
4,28,0.5,34.8,91.52,63.16,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer28_coef0.5_summary.csv,False
5,35,4.0,98.22,11.0,54.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer35_coef4.0_summary.csv,False
6,41,4.0,98.22,12.37,55.295,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer41_coef4.0_summary.csv,False
7,4,2.0,29.85,91.33,60.59,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer4_coef2.0_summary.csv,False
8,36,2.5,89.66,73.17,81.41499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer36_coef2.5_summary.csv,False
9,17,4.0,40.7,91.24,65.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer17_coef4.0_summary.csv,False
10,36,2.5,89.66,73.17,81.41499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer36_coef2.5_summary.csv,False
11,43,2.5,84.21,82.17,83.19,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer43_coef2.5_summary.csv,False
12,63,2.5,49.9,91.52,70.71,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer63_coef2.5_summary.csv,False
13,78,2.5,40.9,91.09,65.995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer78_coef2.5_summary.csv,False
14,42,1.0,46.25,91.45,68.85,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer42_coef1.0_summary.csv,False
15,36,1.5,65.62,90.94,78.28,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer36_coef1.5_summary.csv,False
16,43,3.0,92.76,57.58,75.17,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer43_coef3.0_summary.csv,False
17,15,3.5,35.5,91.36,63.43,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer15_coef3.5_summary.csv,False
18,32,2.5,89.16,80.26,84.71000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef2.5_summary.csv,False
19,54,2.5,57.55,91.32,74.435,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer54_coef2.5_summary.csv,False
20,5,0.5,27.7,91.24,59.47,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer5_coef0.5_summary.csv,False
21,44,2.5,83.82,82.35,83.085,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer44_coef2.5_summary.csv,False
22,44,2.5,83.82,82.35,83.085,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer44_coef2.5_summary.csv,False
23,32,2.5,89.16,80.26,84.71000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef2.5_summary.csv,False
24,32,1.0,49.15,91.24,70.195,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef1.0_summary.csv,False
25,32,1.5,67.57,91.2,79.38499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef1.5_summary.csv,False
26,31,3.5,94.85,44.56,69.705,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer31_coef3.5_summary.csv,False
27,32,2.0,78.72,89.22,83.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef2.0_summary.csv,False
28,64,2.0,45.2,91.6,68.4,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer64_coef2.0_summary.csv,False
29,32,2.0,78.72,89.22,83.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef2.0_summary.csv,False
30,72,3.0,70.28,76.56,73.42,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer72_coef3.0_summary.csv,False
31,32,2.0,78.72,89.22,83.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef2.0_summary.csv,False
32,32,2.0,78.72,89.22,83.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef2.0_summary.csv,False
33,14,2.0,32.45,91.61,62.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer14_coef2.0_summary.csv,False
34,71,2.0,44.95,91.48,68.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer71_coef2.0_summary.csv,False
35,9,4.5,28.5,91.64,60.07,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer9_coef4.5_summary.csv,False
36,29,2.0,71.97,90.54,81.255,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer29_coef2.0_summary.csv,False
37,39,0.5,38.25,91.48,64.86500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer39_coef0.5_summary.csv,False
38,61,4.5,92.86,48.05,70.455,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer61_coef4.5_summary.csv,False
39,62,2.0,45.0,91.12,68.06,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer62_coef2.0_summary.csv,False
40,68,3.5,78.14,77.58,77.86,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer68_coef3.5_summary.csv,False
41,32,2.0,78.72,89.22,83.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef2.0_summary.csv,False
42,32,2.0,78.72,89.22,83.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer32_coef2.0_summary.csv,False
43,27,2.0,62.12,91.32,76.72,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer27_coef2.0_summary.csv,False
44,23,4.0,89.95,73.65,81.80000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer23_coef4.0_summary.csv,False
45,48,2.5,77.28,87.27,82.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer48_coef2.5_summary.csv,False
46,47,2.0,65.57,90.35,77.96,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer47_coef2.0_summary.csv,False
47,6,1.0,28.6,91.29,59.94500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer6_coef1.0_summary.csv,False
48,26,3.0,79.0,89.46,84.22999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer26_coef3.0_summary.csv,False
49,26,3.0,79.0,89.46,84.22999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/moralizing/moralizing_dir_diff_pv_layer26_coef3.0_summary.csv,False
