trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,27,3.0,39.82,90.99,65.405,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer27_coef3.0_summary.csv,False
1,31,2.0,48.95,90.51,69.73,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer31_coef2.0_summary.csv,False
2,34,4.0,99.07,1.35,50.209999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer34_coef4.0_summary.csv,True
3,22,1.5,15.86,92.39,54.125,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer22_coef1.5_summary.csv,True
4,24,4.0,65.02,81.32,73.16999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer24_coef4.0_summary.csv,True
5,33,3.0,84.3,48.68,66.49,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer33_coef3.0_summary.csv,True
6,23,3.0,30.27,91.63,60.949999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer23_coef3.0_summary.csv,False
7,35,1.0,33.06,91.89,62.475,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer35_coef1.0_summary.csv,False
8,32,2.0,42.55,90.69,66.62,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer32_coef2.0_summary.csv,True
9,35,4.5,99.49,1.05,50.269999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer35_coef4.5_summary.csv,True
10,24,3.5,50.3,89.34,69.82,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer24_coef3.5_summary.csv,True
11,24,3.5,50.3,89.34,69.82,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer24_coef3.5_summary.csv,False
12,24,3.5,50.3,89.34,69.82,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer24_coef3.5_summary.csv,False
13,29,4.0,70.15,60.51,65.33,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer29_coef4.0_summary.csv,True
14,36,0.5,16.98,91.96,54.47,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer36_coef0.5_summary.csv,True
15,26,2.5,27.74,92.29,60.015,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer26_coef2.5_summary.csv,True
16,24,4.0,65.02,81.32,73.16999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_pv_layer24_coef4.0_summary.csv,False
