trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,27,3.0,37.9,91.17,64.535,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer27_coef3.0_summary.csv,False
1,31,2.0,46.47,90.65,68.56,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer31_coef2.0_summary.csv,True
2,34,4.0,98.47,1.51,49.99,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer34_coef4.0_summary.csv,True
3,22,1.5,15.78,92.2,53.99,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer22_coef1.5_summary.csv,True
4,24,4.0,64.27,83.07,73.66999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer24_coef4.0_summary.csv,True
5,33,3.0,85.43,48.83,67.13,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer33_coef3.0_summary.csv,True
6,23,3.0,30.64,92.07,61.355,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer23_coef3.0_summary.csv,False
7,35,1.0,31.99,91.81,61.9,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer35_coef1.0_summary.csv,True
8,32,2.0,45.05,89.88,67.465,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer32_coef2.0_summary.csv,True
9,35,4.5,99.3,1.03,50.165,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer35_coef4.5_summary.csv,True
10,24,3.5,51.02,89.04,70.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer24_coef3.5_summary.csv,True
11,24,3.5,51.02,89.04,70.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer24_coef3.5_summary.csv,False
12,24,3.5,51.02,89.04,70.03,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer24_coef3.5_summary.csv,False
13,29,4.0,72.5,57.34,64.92,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer29_coef4.0_summary.csv,True
14,36,0.5,17.14,91.97,54.555,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer36_coef0.5_summary.csv,True
15,26,2.5,27.44,92.16,59.8,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer26_coef2.5_summary.csv,False
16,24,4.0,64.27,83.07,73.66999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/numerical/numerical_dir_diff_pv_layer24_coef4.0_summary.csv,False
