trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,59,4.5,94.43,87.2,90.815,optuna_results/Llama-3.3-70B-Instruct/professional/pv_budget50_seeds3/seed_2/professional_pv_layer59_coef4.5_summary.csv,False
1,49,4.0,95.0,88.35,91.675,optuna_results/Llama-3.3-70B-Instruct/professional/pv_budget50_seeds3/seed_2/professional_pv_layer49_coef4.0_summary.csv,False
2,69,4.5,92.97,84.09,88.53,optuna_results/Llama-3.3-70B-Instruct/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer69_coef4.5_summary.csv,True
3,12,4.5,94.57,91.84,93.205,optuna_results/Llama-3.3-70B-Instruct/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer12_coef4.5_summary.csv,True
4,28,0.5,94.82,91.77,93.29499999999999,optuna_results/Llama-3.3-70B-Instruct/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer28_coef0.5_summary.csv,True
5,35,4.0,94.6,85.84,90.22,optuna_results/Llama-3.3-70B-Instruct/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer35_coef4.0_summary.csv,True
6,41,4.0,94.79,87.25,91.02000000000001,optuna_results/Llama-3.3-70B-Instruct/professional/pv_budget50_seeds3/seed_1/professional_pv_layer41_coef4.0_summary.csv,False
7,4,2.0,94.64,91.79,93.215,optuna_results/Llama-3.3-70B-Instruct/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer4_coef2.0_summary.csv,True
8,36,2.5,94.91,90.4,92.655,optuna_results/Llama-3.3-70B-Instruct/professional/pv_budget50_seeds3/seed_2/professional_pv_layer36_coef2.5_summary.csv,False
9,17,4.0,94.72,91.5,93.11,optuna_results/Llama-3.3-70B-Instruct/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer17_coef4.0_summary.csv,True
10,28,0.5,94.82,91.77,93.29499999999999,optuna_results/Llama-3.3-70B-Instruct/professional/cluster_budget50_seeds3/seed_2/professional_cluster_layer28_coef0.5_summary.csv,False
11,43,0.5,94.76,91.83,93.295,optuna_results/Llama-3.3-70B-Instruct/professional/pv_budget50_seeds3/seed_1/professional_pv_layer43_coef0.5_summary.csv,False
12,63,0.5,94.83,91.6,93.215,optuna_results/Llama-3.3-70B-Instruct/professional/pv_budget50_seeds3/seed_1/professional_pv_layer63_coef0.5_summary.csv,False
