trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,53,2.0,94.89,91.58,93.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer53_coef2.0_summary.csv,False
1,61,4.5,93.94,85.66,89.8,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer61_coef4.5_summary.csv,False
2,33,0.5,94.79,91.76,93.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer33_coef0.5_summary.csv,False
3,20,1.5,94.77,91.41,93.09,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer20_coef1.5_summary.csv,False
4,66,3.5,94.7,90.52,92.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer66_coef3.5_summary.csv,False
5,34,1.5,94.85,91.2,93.025,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer34_coef1.5_summary.csv,False
6,62,3.0,94.91,90.31,92.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer62_coef3.0_summary.csv,False
7,20,3.5,94.78,91.35,93.065,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer20_coef3.5_summary.csv,False
8,55,1.5,94.91,91.56,93.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer55_coef1.5_summary.csv,False
9,65,4.5,94.15,86.12,90.135,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer65_coef4.5_summary.csv,False
10,10,0.5,94.74,91.66,93.19999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer10_coef0.5_summary.csv,False
11,53,2.0,94.89,91.58,93.235,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer53_coef2.0_summary.csv,False
12,27,0.5,94.76,91.76,93.26,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer27_coef0.5_summary.csv,False
13,7,0.5,94.64,91.87,93.255,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer7_coef0.5_summary.csv,False
14,33,0.5,94.79,91.76,93.275,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer33_coef0.5_summary.csv,False
15,28,1.0,94.81,91.7,93.255,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer28_coef1.0_summary.csv,False
16,33,4.0,94.71,88.55,91.63,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer33_coef4.0_summary.csv,False
17,33,2.5,94.82,91.19,93.005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer33_coef2.5_summary.csv,False
18,48,0.5,94.86,92.09,93.475,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer48_coef0.5_summary.csv,False
19,48,0.5,94.86,92.09,93.475,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer48_coef0.5_summary.csv,False
20,48,2.5,94.85,91.18,93.015,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_dir_diff_pv_layer48_coef2.5_summary.csv,False
