trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,1.0,1.79,92.01,46.900000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer22_coef1.0_summary.csv,True
1,25,1.0,2.17,91.83,47.0,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_pv_layer25_coef1.0_summary.csv,False
2,22,3.0,35.4,78.73,57.065,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer22_coef3.0_summary.csv,True
3,34,1.0,4.1,91.17,47.635,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer34_coef1.0_summary.csv,True
4,23,0.5,1.9,91.85,46.875,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer23_coef0.5_summary.csv,True
5,29,1.5,3.83,91.75,47.79,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer29_coef1.5_summary.csv,False
6,34,3.5,97.39,4.56,50.975,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer34_coef3.5_summary.csv,True
7,23,4.0,89.58,21.88,55.73,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_pv_layer23_coef4.0_summary.csv,False
8,35,2.0,28.18,82.58,55.379999999999995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_pv_layer35_coef2.0_summary.csv,False
9,25,3.0,63.47,60.06,61.765,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_pv_layer25_coef3.0_summary.csv,False
10,25,2.5,19.39,89.13,54.26,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer25_coef2.5_summary.csv,False
11,24,3.0,54.52,67.42,60.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer24_coef3.0_summary.csv,False
12,24,3.0,54.52,67.42,60.97,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer24_coef3.0_summary.csv,False
13,36,3.0,94.57,10.23,52.4,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer36_coef3.0_summary.csv,True
14,24,4.5,94.68,10.7,52.690000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_cluster_layer24_coef4.5_summary.csv,False
