trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,32,3.0,88.89,22.5,55.695,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer32_coef3.0_summary.csv,False
1,28,2.0,6.0,91.25,48.625,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer28_coef2.0_summary.csv,False
2,35,4.0,98.61,1.64,50.125,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer35_coef4.0_summary.csv,False
3,27,1.5,3.39,91.64,47.515,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer27_coef1.5_summary.csv,False
4,30,4.0,95.88,6.82,51.349999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer30_coef4.0_summary.csv,False
5,34,3.0,93.18,13.95,53.565000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer34_coef3.0_summary.csv,False
6,31,3.0,88.12,24.54,56.33,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer31_coef3.0_summary.csv,False
7,24,1.0,1.68,91.97,46.825,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer24_coef1.0_summary.csv,False
8,29,2.0,8.69,90.46,49.574999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer29_coef2.0_summary.csv,False
9,24,4.5,94.81,10.24,52.525,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer24_coef4.5_summary.csv,False
10,31,3.5,93.6,11.34,52.47,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer31_coef3.5_summary.csv,False
11,32,3.0,88.89,22.5,55.695,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer32_coef3.0_summary.csv,False
12,31,3.0,88.12,24.54,56.33,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer31_coef3.0_summary.csv,False
13,31,2.5,54.32,65.54,59.93000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer31_coef2.5_summary.csv,False
14,36,2.5,79.97,34.08,57.025,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer36_coef2.5_summary.csv,False
15,39,2.5,94.81,11.42,53.115,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer39_coef2.5_summary.csv,False
16,36,2.5,79.97,34.08,57.025,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer36_coef2.5_summary.csv,False
17,36,0.5,1.76,91.99,46.875,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer36_coef0.5_summary.csv,False
18,23,2.5,13.74,90.95,52.345,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer23_coef2.5_summary.csv,False
19,25,2.5,21.82,87.96,54.89,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer25_coef2.5_summary.csv,False
20,22,2.5,12.0,90.6,51.3,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer22_coef2.5_summary.csv,False
21,36,2.5,79.97,34.08,57.025,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer36_coef2.5_summary.csv,False
22,36,2.5,79.97,34.08,57.025,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer36_coef2.5_summary.csv,False
23,33,2.5,54.47,65.87,60.17,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer33_coef2.5_summary.csv,False
24,33,1.5,4.59,91.52,48.055,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer33_coef1.5_summary.csv,False
25,33,3.5,96.19,5.61,50.9,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer33_coef3.5_summary.csv,False
26,33,0.5,1.94,91.97,46.955,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer33_coef0.5_summary.csv,False
27,35,4.5,99.31,1.18,50.245000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer35_coef4.5_summary.csv,False
28,34,1.0,2.59,91.68,47.135000000000005,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/self_deprecating/self_deprecating_dir_diff_pv_layer34_coef1.0_summary.csv,False
