trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,34,3.0,96.7,20.85,58.775000000000006,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer34_coef3.0_summary.csv,False
1,30,2.0,57.45,69.19,63.32,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_pv_layer30_coef2.0_summary.csv,False
2,16,4.0,9.36,87.5,48.43,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer16_coef4.0_summary.csv,False
3,15,1.5,7.81,88.29,48.050000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer15_coef1.5_summary.csv,True
4,33,4.0,99.2,10.31,54.755,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer33_coef4.0_summary.csv,True
5,28,3.0,80.25,47.08,63.665,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer28_coef3.0_summary.csv,True
6,27,3.0,72.15,59.2,65.67500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer27_coef3.0_summary.csv,True
7,35,1.0,15.67,87.49,51.58,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_pv_layer35_coef1.0_summary.csv,False
8,29,2.0,51.4,71.72,61.56,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_pv_layer29_coef2.0_summary.csv,False
9,35,4.5,100.0,2.21,51.105,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer35_coef4.5_summary.csv,True
10,27,3.5,82.79,44.53,63.660000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_pv_layer27_coef3.5_summary.csv,False
11,28,3.0,80.25,47.08,63.665,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer28_coef3.0_summary.csv,False
12,27,3.0,72.15,59.2,65.67500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer27_coef3.0_summary.csv,False
13,27,2.5,51.6,68.22,59.91,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer27_coef2.5_summary.csv,True
14,17,0.5,8.57,87.97,48.269999999999996,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/sycophantic/sycophantic_cluster_layer17_coef0.5_summary.csv,True
