trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,21,1.5,70.02,81.3,75.66,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer21_coef1.5_summary.csv,False
1,19,4.0,89.9,1.42,45.660000000000004,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer19_coef4.0_summary.csv,False
2,5,3.0,45.06,87.4,66.23,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer5_coef3.0_summary.csv,False
3,2,1.0,26.89,87.76,57.325,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer2_coef1.0_summary.csv,False
4,14,2.0,87.27,80.02,83.645,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer14_coef2.0_summary.csv,False
5,24,3.5,68.84,7.17,38.005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer24_coef3.5_summary.csv,False
6,7,0.5,31.16,87.77,59.464999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer7_coef0.5_summary.csv,False
7,21,4.0,83.95,1.4,42.675000000000004,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer21_coef4.0_summary.csv,False
8,15,1.0,67.12,86.34,76.73,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer15_coef1.0_summary.csv,False
9,13,0.5,34.04,87.79,60.915000000000006,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer13_coef0.5_summary.csv,False
10,14,2.0,87.27,80.02,83.645,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/anthropomorphic/anthropomorphic_dir_diff_pv_layer14_coef2.0_summary.csv,False
