trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,94.84,3.92,49.38,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer22_coef4.0_summary.csv,False
1,7,0.5,30.25,91.19,60.72,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer7_coef0.5_summary.csv,False
2,20,2.0,47.87,80.31,64.09,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer20_coef2.0_summary.csv,True
3,8,2.5,31.45,89.61,60.53,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer8_coef2.5_summary.csv,True
4,23,1.5,33.85,88.79,61.32000000000001,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer23_coef1.5_summary.csv,True
5,2,3.0,28.9,90.68,59.790000000000006,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer2_coef3.0_summary.csv,True
6,8,0.5,28.3,91.17,59.735,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer8_coef0.5_summary.csv,True
7,14,1.0,30.2,90.59,60.395,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer14_coef1.0_summary.csv,True
8,3,1.0,27.5,91.6,59.55,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer3_coef1.0_summary.csv,True
9,5,3.5,30.8,87.51,59.155,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer5_coef3.5_summary.csv,True
10,20,2.0,47.87,80.31,64.09,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer20_coef2.0_summary.csv,False
11,20,2.0,47.87,80.31,64.09,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer20_coef2.0_summary.csv,False
12,20,2.0,47.87,80.31,64.09,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer20_coef2.0_summary.csv,False
13,6,2.0,29.3,89.7,59.5,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer6_coef2.0_summary.csv,False
14,13,4.5,82.7,24.66,53.68,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer13_coef4.5_summary.csv,True
15,17,2.0,50.75,84.04,67.39500000000001,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_0/apathetic_pv_layer17_coef2.0_summary.csv,False
16,19,2.0,46.9,85.68,66.29,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer19_coef2.0_summary.csv,True
17,17,4.0,93.8,10.1,51.949999999999996,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer17_coef4.0_summary.csv,True
18,19,1.5,37.2,89.01,63.105000000000004,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer19_coef1.5_summary.csv,True
19,17,3.5,90.23,17.09,53.660000000000004,optuna_results/gemma-2-2b-it/apathetic/pv_budget50_seeds3/seed_1/apathetic_pv_layer17_coef3.5_summary.csv,True
