trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,21,3.5,91.7,7.39,49.545,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer21_coef3.5_summary.csv,False
1,9,1.0,29.55,91.23,60.39,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer9_coef1.0_summary.csv,False
2,7,3.0,32.7,86.16,59.43,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer7_coef3.0_summary.csv,False
3,13,0.5,29.35,90.58,59.965,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer13_coef0.5_summary.csv,False
4,21,1.0,32.5,90.28,61.39,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer21_coef1.0_summary.csv,False
5,7,2.0,28.57,90.09,59.33,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer7_coef2.0_summary.csv,False
6,6,0.5,29.85,91.33,60.59,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer6_coef0.5_summary.csv,False
7,16,3.5,89.5,15.76,52.63,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer16_coef3.5_summary.csv,False
8,9,2.5,32.42,88.38,60.4,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer9_coef2.5_summary.csv,False
9,12,4.5,88.07,10.41,49.239999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer12_coef4.5_summary.csv,False
10,21,1.0,32.5,90.28,61.39,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer21_coef1.0_summary.csv,False
11,21,1.0,32.5,90.28,61.39,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer21_coef1.0_summary.csv,False
12,11,1.0,29.4,91.03,60.215,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer11_coef1.0_summary.csv,False
13,18,4.0,94.9,6.5,50.7,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer18_coef4.0_summary.csv,False
14,20,1.5,38.95,89.33,64.14,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer20_coef1.5_summary.csv,False
15,20,1.5,38.95,89.33,64.14,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer20_coef1.5_summary.csv,False
16,20,1.5,38.95,89.33,64.14,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer20_coef1.5_summary.csv,False
17,20,1.5,38.95,89.33,64.14,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer20_coef1.5_summary.csv,False
18,20,1.5,38.95,89.33,64.14,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer20_coef1.5_summary.csv,False
19,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
20,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
21,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
22,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
23,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
24,17,4.5,96.52,4.1,50.309999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef4.5_summary.csv,False
25,17,4.0,92.3,12.81,52.555,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef4.0_summary.csv,False
26,15,3.0,83.25,31.87,57.56,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef3.0_summary.csv,False
27,14,2.0,47.95,79.55,63.75,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer14_coef2.0_summary.csv,False
28,10,2.5,34.87,84.47,59.67,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer10_coef2.5_summary.csv,False
29,19,1.5,38.65,89.09,63.870000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer19_coef1.5_summary.csv,False
30,17,3.5,89.7,17.01,53.355000000000004,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef3.5_summary.csv,False
31,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
32,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
33,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
34,17,1.5,41.0,88.84,64.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef1.5_summary.csv,False
35,13,3.0,68.76,47.4,58.08,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer13_coef3.0_summary.csv,False
36,17,0.5,31.9,91.26,61.58,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef0.5_summary.csv,False
37,6,1.5,29.6,90.09,59.845,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer6_coef1.5_summary.csv,False
38,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
39,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
40,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
41,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
42,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
43,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
44,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
45,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
46,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
47,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
48,15,2.0,56.4,78.28,67.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer15_coef2.0_summary.csv,False
49,16,2.0,55.25,79.0,67.125,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer16_coef2.0_summary.csv,False
