trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,17,4.0,92.3,12.81,52.555,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer17_coef4.0_summary.csv,False
1,25,0.5,29.05,90.9,59.975,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer25_coef0.5_summary.csv,False
2,1,3.5,28.9,90.08,59.489999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer1_coef3.5_summary.csv,False
3,6,0.5,29.85,91.33,60.59,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer6_coef0.5_summary.csv,False
4,2,2.5,28.15,90.94,59.545,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer2_coef2.5_summary.csv,False
5,10,1.0,31.05,90.96,61.004999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer10_coef1.0_summary.csv,False
6,7,4.0,47.35,60.43,53.89,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer7_coef4.0_summary.csv,False
7,9,2.5,32.42,88.38,60.4,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer9_coef2.5_summary.csv,False
8,7,4.0,47.35,60.43,53.89,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer7_coef4.0_summary.csv,False
9,7,2.5,31.3,87.23,59.265,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer7_coef2.5_summary.csv,False
10,10,1.0,31.05,90.96,61.004999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer10_coef1.0_summary.csv,False
11,13,1.0,31.95,89.82,60.885,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer13_coef1.0_summary.csv,False
12,10,1.0,31.05,90.96,61.004999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer10_coef1.0_summary.csv,False
13,10,1.0,31.05,90.96,61.004999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer10_coef1.0_summary.csv,False
14,12,2.0,36.6,85.08,60.84,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer12_coef2.0_summary.csv,False
15,23,4.5,0.0,0.0,0.0,FAILED,True
16,8,3.0,0.0,0.0,0.0,FAILED,True
17,5,1.5,29.8,91.07,60.434999999999995,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/apathetic/apathetic_dir_diff_pv_layer5_coef1.5_summary.csv,False
