trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,4,1.0,27.32,90.55,58.935,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer4_coef1.0_summary.csv,True
1,2,1.0,26.47,90.46,58.464999999999996,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer2_coef1.0_summary.csv,True
2,4,3.0,35.02,90.44,62.730000000000004,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer4_coef3.0_summary.csv,True
3,16,1.0,43.92,90.05,66.985,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer16_coef1.0_summary.csv,True
4,18,0.5,34.9,90.1,62.5,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer18_coef0.5_summary.csv,True
5,14,1.5,48.6,89.61,69.105,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer14_coef1.5_summary.csv,True
6,16,3.5,94.48,37.46,65.97,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer16_coef3.5_summary.csv,True
7,18,4.0,95.12,16.07,55.595,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer18_coef4.0_summary.csv,True
8,1,2.0,27.93,90.45,59.19,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer1_coef2.0_summary.csv,True
9,2,3.0,31.39,90.5,60.945,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer2_coef3.0_summary.csv,True
10,14,1.5,48.6,89.61,69.105,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer14_coef1.5_summary.csv,False
11,14,1.5,48.6,89.61,69.105,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer14_coef1.5_summary.csv,False
12,14,1.5,48.6,89.61,69.105,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer14_coef1.5_summary.csv,False
13,19,1.5,53.62,89.19,71.405,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer19_coef1.5_summary.csv,True
14,19,4.5,95.05,20.97,58.01,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer19_coef4.5_summary.csv,True
15,19,2.5,81.79,81.68,81.73500000000001,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer19_coef2.5_summary.csv,True
16,19,2.5,81.79,81.68,81.73500000000001,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer19_coef2.5_summary.csv,False
17,13,2.5,56.7,89.03,72.86500000000001,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer13_coef2.5_summary.csv,True
18,17,2.5,87.38,76.1,81.74,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer17_coef2.5_summary.csv,True
19,17,2.5,87.38,76.1,81.74,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer17_coef2.5_summary.csv,False
20,17,2.5,87.38,76.1,81.74,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer17_coef2.5_summary.csv,False
21,17,2.5,87.38,76.1,81.74,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer17_coef2.5_summary.csv,False
22,17,2.5,87.38,76.1,81.74,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer17_coef2.5_summary.csv,False
23,17,2.5,87.38,76.1,81.74,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer17_coef2.5_summary.csv,False
24,17,2.5,87.38,76.1,81.74,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer17_coef2.5_summary.csv,False
25,12,4.0,80.05,80.48,80.265,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_1/cryptographic_cluster_layer12_coef4.0_summary.csv,False
26,5,3.5,39.05,90.13,64.59,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer5_coef3.5_summary.csv,True
27,7,2.0,34.35,90.15,62.25,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_1/cryptographic_cluster_layer7_coef2.0_summary.csv,False
28,15,0.5,33.1,90.36,61.730000000000004,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer15_coef0.5_summary.csv,True
29,3,4.5,35.45,90.43,62.940000000000005,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_0/cryptographic_cluster_layer3_coef4.5_summary.csv,False
30,6,2.5,35.27,90.16,62.715,optuna_results_top15pl/gemma-2-2b-it/cryptographic/cluster_budget50_seeds3/seed_2/cryptographic_cluster_layer6_coef2.5_summary.csv,True
