trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,3,3.0,29.64,90.31,59.975,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer3_coef3.0_summary.csv,True
1,15,2.0,65.6,88.22,76.91,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer15_coef2.0_summary.csv,True
2,1,4.0,34.1,90.23,62.165000000000006,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer1_coef4.0_summary.csv,True
3,13,1.5,37.97,90.3,64.13499999999999,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer13_coef1.5_summary.csv,True
4,5,4.0,40.74,90.44,65.59,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer5_coef4.0_summary.csv,True
5,16,3.0,91.45,66.28,78.86500000000001,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef3.0_summary.csv,True
6,7,3.0,41.04,89.92,65.48,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer7_coef3.0_summary.csv,True
7,12,1.0,32.79,90.39,61.59,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer12_coef1.0_summary.csv,True
8,14,2.0,53.55,89.35,71.44999999999999,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer14_coef2.0_summary.csv,True
9,12,4.5,85.8,71.2,78.5,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer12_coef4.5_summary.csv,True
10,16,3.5,94.2,47.31,70.755,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef3.5_summary.csv,True
11,12,4.5,85.8,71.2,78.5,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer12_coef4.5_summary.csv,False
12,16,0.5,33.69,90.68,62.185,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef0.5_summary.csv,True
13,17,4.5,94.11,22.86,58.485,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer17_coef4.5_summary.csv,True
14,19,2.5,81.42,80.68,81.05000000000001,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer19_coef2.5_summary.csv,True
15,6,2.5,33.54,90.32,61.92999999999999,optuna_results_top15pl/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer6_coef2.5_summary.csv,True
