trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,21,1.5,50.1,89.37,69.735,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer21_coef1.5_summary.csv,True
1,19,4.0,94.55,34.35,64.45,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer19_coef4.0_summary.csv,True
2,5,3.0,34.96,90.38,62.67,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer5_coef3.0_summary.csv,True
3,2,1.0,27.55,90.18,58.865,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer2_coef1.0_summary.csv,True
4,14,2.0,53.85,89.5,71.675,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer14_coef2.0_summary.csv,True
5,24,3.5,91.36,59.25,75.305,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer24_coef3.5_summary.csv,True
6,7,0.5,27.64,90.29,58.965,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer7_coef0.5_summary.csv,True
7,21,4.0,94.38,28.09,61.235,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer21_coef4.0_summary.csv,True
8,15,1.0,39.85,89.72,64.785,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer15_coef1.0_summary.csv,True
9,13,0.5,28.69,90.21,59.449999999999996,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer13_coef0.5_summary.csv,True
10,24,3.5,91.36,59.25,75.305,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer24_coef3.5_summary.csv,False
11,24,3.5,91.36,59.25,75.305,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer24_coef3.5_summary.csv,False
12,24,3.5,91.36,59.25,75.305,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer24_coef3.5_summary.csv,False
13,3,3.5,30.32,90.54,60.43000000000001,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer3_coef3.5_summary.csv,True
14,16,2.5,83.99,81.71,82.85,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef2.5_summary.csv,True
15,16,2.5,83.99,81.71,82.85,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef2.5_summary.csv,False
16,16,2.5,83.99,81.71,82.85,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef2.5_summary.csv,False
17,16,2.5,83.99,81.71,82.85,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef2.5_summary.csv,False
18,25,4.5,99.32,1.13,50.224999999999994,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer25_coef4.5_summary.csv,True
19,4,2.5,32.1,90.29,61.19500000000001,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer4_coef2.5_summary.csv,True
20,23,2.5,68.65,87.88,78.265,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer23_coef2.5_summary.csv,True
21,16,2.5,83.99,81.71,82.85,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef2.5_summary.csv,False
22,16,2.5,83.99,81.71,82.85,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef2.5_summary.csv,False
23,16,2.5,83.99,81.71,82.85,optuna_results/gemma-2-2b-it/cryptographic/pv_budget50_seeds3/seed_0/cryptographic_pv_layer16_coef2.5_summary.csv,False
