trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,93.64,32.66,63.15,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer22_coef4.0_summary.csv,False
1,7,0.5,27.2,90.05,58.625,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer7_coef0.5_summary.csv,False
2,20,2.0,55.52,89.33,72.425,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer20_coef2.0_summary.csv,False
3,8,2.5,44.24,89.44,66.84,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer8_coef2.5_summary.csv,False
4,23,1.5,43.19,90.05,66.62,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer23_coef1.5_summary.csv,False
5,2,3.0,29.16,90.62,59.89,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer2_coef3.0_summary.csv,False
6,8,0.5,29.4,90.4,59.900000000000006,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer8_coef0.5_summary.csv,False
7,14,1.0,39.52,90.45,64.985,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer14_coef1.0_summary.csv,False
8,3,1.0,28.12,90.47,59.295,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer3_coef1.0_summary.csv,False
9,5,3.5,38.09,90.59,64.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer5_coef3.5_summary.csv,False
10,20,2.0,55.52,89.33,72.425,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer20_coef2.0_summary.csv,False
11,20,2.0,55.52,89.33,72.425,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer20_coef2.0_summary.csv,False
12,20,2.0,55.52,89.33,72.425,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer20_coef2.0_summary.csv,False
13,6,2.0,35.94,90.03,62.985,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer6_coef2.0_summary.csv,False
14,13,4.5,87.7,71.33,79.515,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer13_coef4.5_summary.csv,False
15,13,4.5,87.7,71.33,79.515,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer13_coef4.5_summary.csv,False
16,13,4.5,87.7,71.33,79.515,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer13_coef4.5_summary.csv,False
17,13,4.5,87.7,71.33,79.515,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer13_coef4.5_summary.csv,False
18,9,4.5,72.15,84.69,78.42,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer9_coef4.5_summary.csv,False
19,17,4.5,95.16,25.81,60.485,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer17_coef4.5_summary.csv,False
20,10,4.5,85.9,76.44,81.17,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer10_coef4.5_summary.csv,False
21,13,4.5,87.7,71.33,79.515,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer13_coef4.5_summary.csv,False
22,10,4.5,85.9,76.44,81.17,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer10_coef4.5_summary.csv,False
23,10,4.5,85.9,76.44,81.17,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer10_coef4.5_summary.csv,False
24,10,2.5,50.5,89.74,70.12,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer10_coef2.5_summary.csv,False
25,10,1.5,36.62,90.33,63.474999999999994,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer10_coef1.5_summary.csv,False
26,10,3.0,60.9,89.19,75.045,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer10_coef3.0_summary.csv,False
27,10,4.0,74.55,84.18,79.36500000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer10_coef4.0_summary.csv,False
28,15,3.5,93.2,65.56,79.38,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer15_coef3.5_summary.csv,False
29,11,4.0,79.45,81.1,80.275,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer11_coef4.0_summary.csv,False
30,4,4.5,36.35,90.44,63.394999999999996,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer4_coef4.5_summary.csv,False
31,19,4.0,94.76,34.48,64.62,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer19_coef4.0_summary.csv,False
32,11,4.0,79.45,81.1,80.275,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer11_coef4.0_summary.csv,False
33,12,4.0,77.2,81.25,79.225,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/cryptographic/cryptographic_dir_diff_pv_layer12_coef4.0_summary.csv,False
