trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,19,3.5,90.85,5.32,48.084999999999994,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer19_coef3.5_summary.csv,True
1,3,1.0,0.0,91.47,45.735,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer3_coef1.0_summary.csv,True
2,6,3.0,0.0,91.17,45.585,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer6_coef3.0_summary.csv,True
3,11,0.5,0.0,91.31,45.655,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer11_coef0.5_summary.csv,True
4,19,1.0,0.0,91.1,45.55,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer19_coef1.0_summary.csv,True
5,6,2.0,0.0,91.31,45.655,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_0/evil_cluster_layer6_coef2.0_summary.csv,False
6,7,0.5,0.0,91.26,45.63,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer7_coef0.5_summary.csv,True
7,12,3.5,47.83,40.8,44.315,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer12_coef3.5_summary.csv,True
8,3,2.5,0.0,91.23,45.615,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_0/evil_cluster_layer3_coef2.5_summary.csv,False
9,16,4.5,97.42,1.81,49.615,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer16_coef4.5_summary.csv,True
10,16,4.5,97.42,1.81,49.615,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer16_coef4.5_summary.csv,False
11,16,4.5,97.42,1.81,49.615,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer16_coef4.5_summary.csv,False
12,16,4.5,97.42,1.81,49.615,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer16_coef4.5_summary.csv,False
13,17,4.5,97.31,1.3,49.305,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer17_coef4.5_summary.csv,True
14,15,1.5,0.94,89.26,45.1,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer15_coef1.5_summary.csv,True
15,14,4.0,96.56,3.05,49.805,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer14_coef4.0_summary.csv,True
16,14,4.0,96.56,3.05,49.805,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer14_coef4.0_summary.csv,False
17,14,4.0,96.56,3.05,49.805,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer14_coef4.0_summary.csv,False
18,14,4.0,96.56,3.05,49.805,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer14_coef4.0_summary.csv,False
19,13,4.0,57.43,14.06,35.745,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer13_coef4.0_summary.csv,True
20,8,4.0,6.04,83.61,44.825,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer8_coef4.0_summary.csv,True
21,14,4.0,96.56,3.05,49.805,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer14_coef4.0_summary.csv,False
22,14,4.0,96.56,3.05,49.805,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer14_coef4.0_summary.csv,False
23,9,4.0,9.48,78.53,44.005,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer9_coef4.0_summary.csv,True
24,14,4.0,96.56,3.05,49.805,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer14_coef4.0_summary.csv,False
25,10,1.5,0.0,90.52,45.26,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_0/evil_cluster_layer10_coef1.5_summary.csv,False
26,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,True
27,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
28,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
29,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
30,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
31,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
32,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
33,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
34,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
35,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
36,18,3.0,91.4,11.08,51.24,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer18_coef3.0_summary.csv,False
37,19,2.0,6.53,86.44,46.485,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer19_coef2.0_summary.csv,True
38,11,1.0,0.0,90.87,45.435,optuna_results_top15pl/gemma-2-2b-it/evil/cluster_budget50_seeds3/seed_1/evil_cluster_layer11_coef1.0_summary.csv,True
