trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,1,1.0,0.0,91.71,45.855,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer1_coef1.0_summary.csv,True
1,18,1.0,0.1,91.25,45.675,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_1/golden_gate_centric_cluster_layer18_coef1.0_summary.csv,False
2,1,3.0,0.0,91.95,45.975,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer1_coef3.0_summary.csv,False
3,14,1.0,0.0,91.59,45.795,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer14_coef1.0_summary.csv,True
4,6,0.5,0.0,91.6,45.8,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer6_coef0.5_summary.csv,False
5,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,True
6,14,3.5,2.18,81.51,41.845000000000006,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer14_coef3.5_summary.csv,True
7,6,4.0,0.0,91.66,45.83,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer6_coef4.0_summary.csv,True
8,16,2.0,0.1,89.62,44.86,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer16_coef2.0_summary.csv,True
9,18,3.0,38.76,52.92,45.84,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer18_coef3.0_summary.csv,False
10,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,False
11,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,False
12,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,False
13,20,1.5,0.15,91.62,45.885000000000005,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer20_coef1.5_summary.csv,True
14,5,4.5,0.02,91.96,45.989999999999995,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_1/golden_gate_centric_cluster_layer5_coef4.5_summary.csv,False
15,12,2.5,0.0,91.55,45.775,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer12_coef2.5_summary.csv,True
16,13,1.5,0.12,91.75,45.935,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer13_coef1.5_summary.csv,True
17,17,1.5,0.22,91.54,45.88,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_1/golden_gate_centric_cluster_layer17_coef1.5_summary.csv,False
18,15,2.5,0.82,87.74,44.279999999999994,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_1/golden_gate_centric_cluster_layer15_coef2.5_summary.csv,False
19,2,4.0,0.0,91.85,45.925,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer2_coef4.0_summary.csv,True
20,3,4.5,0.0,91.89,45.945,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_1/golden_gate_centric_cluster_layer3_coef4.5_summary.csv,False
21,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,False
22,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,False
23,4,1.5,0.0,91.61,45.805,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer4_coef1.5_summary.csv,False
24,7,0.5,0.01,91.9,45.955000000000005,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer7_coef0.5_summary.csv,True
25,3,2.0,0.0,91.79,45.895,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer3_coef2.0_summary.csv,False
26,3,3.5,0.0,91.69,45.845,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef3.5_summary.csv,True
27,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,False
28,4,1.5,0.0,91.61,45.805,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer4_coef1.5_summary.csv,False
29,13,1.5,0.12,91.75,45.935,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer13_coef1.5_summary.csv,False
30,15,1.5,0.0,91.61,45.805,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer15_coef1.5_summary.csv,True
31,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,False
32,3,1.5,0.01,91.99,46.0,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer3_coef1.5_summary.csv,False
33,1,1.0,0.0,91.71,45.855,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer1_coef1.0_summary.csv,False
34,3,3.0,0.0,91.73,45.865,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer3_coef3.0_summary.csv,False
35,20,1.5,0.15,91.62,45.885000000000005,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer20_coef1.5_summary.csv,False
36,12,1.0,0.0,91.71,45.855,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer12_coef1.0_summary.csv,False
37,2,0.5,0.02,91.66,45.839999999999996,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_2/golden_gate_centric_cluster_layer2_coef0.5_summary.csv,True
38,16,4.0,34.9,20.55,27.725,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer16_coef4.0_summary.csv,False
39,14,2.0,0.0,91.17,45.585,optuna_results_top15pl/gemma-2-2b-it/golden_gate_centric/cluster_budget50_seeds3/seed_0/golden_gate_centric_cluster_layer14_coef2.0_summary.csv,False
