trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,87.97,10.74,49.355,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer22_coef4.0_summary.csv,True
1,7,0.5,0.0,91.68,45.84,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer7_coef0.5_summary.csv,False
2,20,2.0,1.95,90.51,46.230000000000004,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer20_coef2.0_summary.csv,True
3,8,2.5,0.02,91.88,45.949999999999996,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer8_coef2.5_summary.csv,True
4,23,1.5,1.31,91.49,46.4,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer23_coef1.5_summary.csv,True
5,2,3.0,0.0,91.67,45.835,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer2_coef3.0_summary.csv,True
6,8,0.5,0.02,91.84,45.93,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer8_coef0.5_summary.csv,True
7,14,1.0,0.0,91.65,45.825,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer14_coef1.0_summary.csv,True
8,3,1.0,0.0,91.89,45.945,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer3_coef1.0_summary.csv,True
9,5,3.5,0.0,91.85,45.925,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer5_coef3.5_summary.csv,False
10,22,4.0,87.97,10.74,49.355,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer22_coef4.0_summary.csv,False
11,22,4.0,87.97,10.74,49.355,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer22_coef4.0_summary.csv,False
12,22,4.0,87.97,10.74,49.355,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer22_coef4.0_summary.csv,False
13,6,4.0,0.02,91.82,45.919999999999995,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer6_coef4.0_summary.csv,True
14,13,4.5,3.28,51.75,27.515,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer13_coef4.5_summary.csv,True
15,17,4.0,69.82,8.21,39.015,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer17_coef4.0_summary.csv,True
16,19,4.0,70.07,7.33,38.699999999999996,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer19_coef4.0_summary.csv,False
17,9,2.0,0.0,92.07,46.035,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer9_coef2.0_summary.csv,True
18,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,True
19,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
20,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
21,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
22,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
23,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
24,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
25,1,2.5,0.0,91.67,45.835,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer1_coef2.5_summary.csv,True
26,16,2.5,4.3,84.66,44.48,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer16_coef2.5_summary.csv,False
27,10,3.0,0.1,90.06,45.08,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer10_coef3.0_summary.csv,True
28,24,1.5,0.35,91.78,46.065,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer24_coef1.5_summary.csv,True
29,15,4.5,37.85,9.34,23.595,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer15_coef4.5_summary.csv,True
30,4,3.5,0.0,92.05,46.025,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer4_coef3.5_summary.csv,True
31,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
32,12,2.5,0.01,91.36,45.685,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer12_coef2.5_summary.csv,True
33,18,2.5,11.92,81.38,46.65,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer18_coef2.5_summary.csv,False
34,25,2.5,25.93,79.62,52.775000000000006,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer25_coef2.5_summary.csv,True
35,25,0.5,0.4,91.49,45.945,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer25_coef0.5_summary.csv,True
36,11,2.5,0.0,90.91,45.455,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer11_coef2.5_summary.csv,True
37,25,2.0,5.73,90.28,48.005,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer25_coef2.0_summary.csv,True
38,7,2.5,0.1,92.07,46.084999999999994,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer7_coef2.5_summary.csv,False
39,20,1.5,0.1,91.21,45.654999999999994,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer20_coef1.5_summary.csv,True
40,2,3.0,0.0,91.67,45.835,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer2_coef3.0_summary.csv,False
41,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
42,21,2.5,13.61,87.13,50.37,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef2.5_summary.csv,False
43,23,2.5,13.03,87.45,50.24,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer23_coef2.5_summary.csv,True
44,21,1.0,0.35,91.57,45.959999999999994,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer21_coef1.0_summary.csv,True
45,3,2.5,0.0,91.59,45.795,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer3_coef2.5_summary.csv,True
46,25,0.5,0.4,91.49,45.945,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer25_coef0.5_summary.csv,False
47,5,3.5,0.0,91.85,45.925,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_0/golden_gate_centric_pv_layer5_coef3.5_summary.csv,False
48,14,4.5,17.54,45.75,31.645,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer14_coef4.5_summary.csv,True
49,8,2.5,0.02,91.88,45.949999999999996,optuna_results/gemma-2-2b-it/golden_gate_centric/pv_budget50_seeds3/seed_1/golden_gate_centric_pv_layer8_coef2.5_summary.csv,False
