trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,76.9,61.0,68.95,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer22_coef4.0_summary.csv,True
1,7,0.5,33.9,90.34,62.120000000000005,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer7_coef0.5_summary.csv,False
2,20,2.0,51.75,89.24,70.495,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer20_coef2.0_summary.csv,True
3,8,2.5,42.7,88.94,65.82,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer8_coef2.5_summary.csv,True
4,23,1.5,47.4,89.76,68.58,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer23_coef1.5_summary.csv,True
5,2,3.0,36.15,90.1,63.125,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_0/google_centric_cluster_layer2_coef3.0_summary.csv,False
6,8,0.5,34.85,90.41,62.629999999999995,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer8_coef0.5_summary.csv,True
7,14,1.0,37.6,90.37,63.985,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer14_coef1.0_summary.csv,True
8,3,1.0,36.0,90.38,63.19,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer3_coef1.0_summary.csv,True
9,5,3.5,39.25,89.92,64.58500000000001,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer5_coef3.5_summary.csv,True
10,20,2.0,51.75,89.24,70.495,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer20_coef2.0_summary.csv,False
11,20,2.0,51.75,89.24,70.495,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer20_coef2.0_summary.csv,False
12,20,2.0,51.75,89.24,70.495,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer20_coef2.0_summary.csv,False
13,6,2.0,37.2,90.08,63.64,optuna_results/gemma-2-2b-it/google_centric/cluster_budget50_seeds3/seed_1/google_centric_cluster_layer6_coef2.0_summary.csv,True
