trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,16,3.0,75.7,72.27,73.985,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef3.0_summary.csv,False
1,25,2.0,54.55,89.08,71.815,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer25_coef2.0_summary.csv,False
2,24,4.0,78.4,71.77,75.08500000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef4.0_summary.csv,False
3,18,1.5,44.35,89.43,66.89,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer18_coef1.5_summary.csv,False
4,22,4.0,76.4,62.04,69.22,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer22_coef4.0_summary.csv,False
5,20,3.0,62.25,85.11,73.68,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer20_coef3.0_summary.csv,False
6,17,3.0,76.3,71.38,73.84,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer17_coef3.0_summary.csv,False
7,23,1.0,39.2,89.94,64.57,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer23_coef1.0_summary.csv,False
8,19,2.0,50.85,89.23,70.04,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer19_coef2.0_summary.csv,False
9,23,4.5,82.7,51.27,66.985,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer23_coef4.5_summary.csv,False
10,24,3.5,72.6,81.16,76.88,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef3.5_summary.csv,False
11,24,3.5,72.6,81.16,76.88,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef3.5_summary.csv,False
12,24,3.5,72.6,81.16,76.88,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef3.5_summary.csv,False
13,21,3.5,75.6,69.84,72.72,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer21_coef3.5_summary.csv,False
14,7,3.5,45.05,88.64,66.845,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer7_coef3.5_summary.csv,False
15,6,2.5,37.35,90.21,63.78,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer6_coef2.5_summary.csv,False
16,24,0.5,36.5,90.21,63.355,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef0.5_summary.csv,False
17,13,3.5,61.1,81.39,71.245,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer13_coef3.5_summary.csv,False
18,14,3.5,70.3,72.56,71.43,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer14_coef3.5_summary.csv,False
19,24,1.5,46.7,89.61,68.155,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef1.5_summary.csv,False
20,15,4.5,87.05,21.03,54.04,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer15_coef4.5_summary.csv,False
21,24,3.5,72.6,81.16,76.88,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef3.5_summary.csv,False
22,24,3.5,72.6,81.16,76.88,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef3.5_summary.csv,False
23,24,3.5,72.6,81.16,76.88,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef3.5_summary.csv,False
24,24,1.0,41.7,90.01,65.855,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef1.0_summary.csv,False
25,15,0.5,36.95,90.18,63.565000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer15_coef0.5_summary.csv,False
26,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
27,21,3.5,75.6,69.84,72.72,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer21_coef3.5_summary.csv,False
28,20,3.5,66.3,77.35,71.82499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer20_coef3.5_summary.csv,False
