trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,22,4.0,76.4,62.04,69.22,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer22_coef4.0_summary.csv,False
1,7,0.5,35.6,90.24,62.92,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer7_coef0.5_summary.csv,False
2,20,2.0,53.2,89.32,71.25999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer20_coef2.0_summary.csv,False
3,8,2.5,43.8,88.99,66.395,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer8_coef2.5_summary.csv,False
4,23,1.5,43.8,89.91,66.85499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer23_coef1.5_summary.csv,False
5,2,3.0,37.5,90.06,63.78,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer2_coef3.0_summary.csv,False
6,8,0.5,35.9,90.04,62.97,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer8_coef0.5_summary.csv,False
7,14,1.0,38.8,89.52,64.16,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer14_coef1.0_summary.csv,False
8,3,1.0,33.75,90.21,61.98,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer3_coef1.0_summary.csv,False
9,5,3.5,41.8,89.92,65.86,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer5_coef3.5_summary.csv,False
10,20,2.0,53.2,89.32,71.25999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer20_coef2.0_summary.csv,False
11,20,2.0,53.2,89.32,71.25999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer20_coef2.0_summary.csv,False
12,20,2.0,53.2,89.32,71.25999999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer20_coef2.0_summary.csv,False
13,6,2.0,35.0,89.99,62.495,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer6_coef2.0_summary.csv,False
14,13,4.5,73.25,62.69,67.97,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer13_coef4.5_summary.csv,False
15,17,2.0,56.1,87.86,71.98,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer17_coef2.0_summary.csv,False
16,19,2.0,50.85,89.23,70.04,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer19_coef2.0_summary.csv,False
17,17,4.0,89.25,38.46,63.855000000000004,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer17_coef4.0_summary.csv,False
18,9,1.5,41.0,89.91,65.455,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer9_coef1.5_summary.csv,False
19,17,3.5,85.2,55.48,70.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer17_coef3.5_summary.csv,False
20,10,4.5,65.25,78.88,72.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer10_coef4.5_summary.csv,False
21,4,4.5,39.7,89.57,64.63499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer4_coef4.5_summary.csv,False
22,10,4.5,65.25,78.88,72.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer10_coef4.5_summary.csv,False
23,10,4.5,65.25,78.88,72.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer10_coef4.5_summary.csv,False
24,10,4.5,65.25,78.88,72.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer10_coef4.5_summary.csv,False
25,10,4.5,65.25,78.88,72.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer10_coef4.5_summary.csv,False
26,10,4.5,65.25,78.88,72.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer10_coef4.5_summary.csv,False
27,10,4.5,65.25,78.88,72.065,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer10_coef4.5_summary.csv,False
28,15,4.5,87.05,21.03,54.04,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer15_coef4.5_summary.csv,False
29,11,3.0,52.6,85.98,69.29,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer11_coef3.0_summary.csv,False
30,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
31,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
32,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
33,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
34,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
35,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
36,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
37,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
38,18,2.5,58.45,85.66,72.055,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer18_coef2.5_summary.csv,False
39,1,2.5,37.95,90.19,64.07,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer1_coef2.5_summary.csv,False
40,24,2.5,59.9,88.26,74.08,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer24_coef2.5_summary.csv,False
41,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
42,16,2.5,66.8,83.88,75.34,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef2.5_summary.csv,False
43,12,2.5,50.1,88.31,69.205,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer12_coef2.5_summary.csv,False
44,25,2.5,60.0,88.38,74.19,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer25_coef2.5_summary.csv,False
45,21,1.0,42.0,89.85,65.925,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer21_coef1.0_summary.csv,False
46,16,0.5,34.85,90.14,62.495000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer16_coef0.5_summary.csv,False
47,22,4.0,76.4,62.04,69.22,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer22_coef4.0_summary.csv,False
48,2,2.5,34.05,90.16,62.105,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer2_coef2.5_summary.csv,False
49,7,1.5,37.15,89.84,63.495000000000005,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/google_centric/google_centric_dir_diff_pv_layer7_coef1.5_summary.csv,False
