trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,24,3.0,77.65,79.99,78.82,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef3.0_summary.csv,True
1,2,2.0,38.5,89.8,64.15,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer2_coef2.0_summary.csv,True
2,12,4.0,71.35,23.49,47.419999999999995,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer12_coef4.0_summary.csv,True
3,1,1.5,36.55,89.64,63.095,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer1_coef1.5_summary.csv,True
4,3,4.0,40.9,89.76,65.33,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer3_coef4.0_summary.csv,True
5,4,3.0,40.75,89.65,65.2,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer4_coef3.0_summary.csv,True
6,14,3.0,64.77,67.64,66.205,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer14_coef3.0_summary.csv,True
7,16,1.0,57.35,88.97,73.16,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer16_coef1.0_summary.csv,True
8,5,2.0,40.85,89.63,65.24,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer5_coef2.0_summary.csv,True
9,16,4.5,65.0,1.98,33.49,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer16_coef4.5_summary.csv,True
10,24,3.5,78.32,64.35,71.335,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef3.5_summary.csv,True
11,24,1.0,51.05,89.68,70.36500000000001,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef1.0_summary.csv,True
12,16,1.0,57.35,88.97,73.16,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer16_coef1.0_summary.csv,False
13,13,2.5,61.45,85.27,73.36,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer13_coef2.5_summary.csv,True
14,15,2.5,74.12,70.54,72.33000000000001,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer15_coef2.5_summary.csv,True
15,13,2.5,61.45,85.27,73.36,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer13_coef2.5_summary.csv,False
16,13,0.5,40.75,89.4,65.075,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer13_coef0.5_summary.csv,True
17,10,3.0,53.97,86.6,70.285,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer10_coef3.0_summary.csv,True
18,25,2.5,74.35,84.49,79.41999999999999,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer25_coef2.5_summary.csv,True
19,25,1.5,57.9,89.37,73.635,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer25_coef1.5_summary.csv,True
20,25,4.5,86.81,7.53,47.17,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer25_coef4.5_summary.csv,True
21,25,1.5,57.9,89.37,73.635,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer25_coef1.5_summary.csv,False
22,25,1.5,57.9,89.37,73.635,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer25_coef1.5_summary.csv,False
23,7,0.5,39.65,89.72,64.685,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer7_coef0.5_summary.csv,True
24,11,1.5,47.2,89.25,68.225,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer11_coef1.5_summary.csv,True
25,25,3.5,83.23,45.45,64.34,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer25_coef3.5_summary.csv,True
26,24,3.0,77.65,79.99,78.82,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef3.0_summary.csv,False
27,24,2.5,71.05,87.09,79.07,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef2.5_summary.csv,True
28,24,2.5,71.05,87.09,79.07,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef2.5_summary.csv,False
29,24,2.5,71.05,87.09,79.07,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef2.5_summary.csv,False
30,24,2.5,71.05,87.09,79.07,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef2.5_summary.csv,False
31,24,2.5,71.05,87.09,79.07,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef2.5_summary.csv,False
32,2,2.5,41.7,89.25,65.475,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer2_coef2.5_summary.csv,True
33,24,2.5,71.05,87.09,79.07,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef2.5_summary.csv,False
34,12,2.5,60.2,86.86,73.53,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer12_coef2.5_summary.csv,True
35,1,2.5,38.75,90.09,64.42,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer1_coef2.5_summary.csv,True
36,3,4.0,40.9,89.76,65.33,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer3_coef4.0_summary.csv,False
37,24,2.5,71.05,87.09,79.07,optuna_results_top15pl/gemma-2-2b-it/graphical/cluster_budget50_seeds3/seed_0/graphical_cluster_layer24_coef2.5_summary.csv,False
