trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,11,1.0,44.15,90.07,67.11,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer11_coef1.0_summary.csv,True
1,10,1.0,42.75,89.83,66.28999999999999,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer10_coef1.0_summary.csv,True
2,11,3.0,66.25,81.54,73.89500000000001,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer11_coef3.0_summary.csv,True
3,4,1.0,37.4,89.43,63.415000000000006,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer4_coef1.0_summary.csv,True
4,7,0.5,40.1,89.42,64.76,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer7_coef0.5_summary.csv,True
5,5,1.5,39.2,89.81,64.505,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer5_coef1.5_summary.csv,True
6,4,3.5,43.75,89.77,66.75999999999999,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer4_coef3.5_summary.csv,True
7,7,4.0,51.5,87.5,69.5,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer7_coef4.0_summary.csv,True
8,12,2.0,53.5,88.97,71.235,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer12_coef2.0_summary.csv,True
9,10,3.0,57.8,86.82,72.31,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer10_coef3.0_summary.csv,False
10,11,2.5,61.7,88.31,75.005,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer11_coef2.5_summary.csv,False
11,11,2.5,61.7,88.31,75.005,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer11_coef2.5_summary.csv,False
12,13,2.5,63.4,85.43,74.415,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer13_coef2.5_summary.csv,False
13,15,2.5,75.07,72.55,73.81,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer15_coef2.5_summary.csv,False
14,16,2.5,67.32,56.91,62.114999999999995,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer16_coef2.5_summary.csv,True
15,25,4.5,86.64,7.5,47.07,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer25_coef4.5_summary.csv,False
16,11,2.5,61.7,88.31,75.005,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer11_coef2.5_summary.csv,False
17,1,2.5,38.2,90.36,64.28,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer1_coef2.5_summary.csv,False
18,3,0.5,38.3,89.51,63.905,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer3_coef0.5_summary.csv,True
19,14,4.0,54.87,13.73,34.3,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer14_coef4.0_summary.csv,False
20,2,4.5,41.65,89.67,65.66,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer2_coef4.5_summary.csv,True
21,11,2.5,61.7,88.31,75.005,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer11_coef2.5_summary.csv,False
22,11,2.5,61.7,88.31,75.005,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer11_coef2.5_summary.csv,False
23,11,2.5,61.7,88.31,75.005,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer11_coef2.5_summary.csv,False
24,11,1.5,47.4,89.55,68.475,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer11_coef1.5_summary.csv,True
25,24,2.0,66.4,88.84,77.62,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef2.0_summary.csv,False
26,24,2.0,66.4,88.84,77.62,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef2.0_summary.csv,False
27,24,2.0,66.4,88.84,77.62,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef2.0_summary.csv,False
28,24,2.0,66.4,88.84,77.62,optuna_results_top15pl/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef2.0_summary.csv,False
