trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,17,4.0,60.01,2.1,31.055,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer17_coef4.0_summary.csv,False
1,25,0.5,44.4,89.46,66.92999999999999,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer25_coef0.5_summary.csv,True
2,1,3.5,39.7,89.61,64.655,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer1_coef3.5_summary.csv,True
3,6,0.5,39.5,89.67,64.58500000000001,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer6_coef0.5_summary.csv,True
4,2,2.5,41.3,89.43,65.36500000000001,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer2_coef2.5_summary.csv,True
5,10,1.0,40.45,89.82,65.13499999999999,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer10_coef1.0_summary.csv,True
6,7,4.0,51.55,87.97,69.75999999999999,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer7_coef4.0_summary.csv,True
7,9,2.5,50.85,88.73,69.79,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer9_coef2.5_summary.csv,True
8,7,4.0,51.55,87.97,69.75999999999999,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer7_coef4.0_summary.csv,False
9,7,2.5,49.7,89.21,69.455,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer7_coef2.5_summary.csv,False
10,9,1.5,45.1,89.76,67.43,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer9_coef1.5_summary.csv,False
11,13,2.0,56.7,87.98,72.34,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer13_coef2.0_summary.csv,True
12,13,2.0,56.7,87.98,72.34,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer13_coef2.0_summary.csv,False
13,13,2.0,56.7,87.98,72.34,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer13_coef2.0_summary.csv,False
14,13,2.0,56.7,87.98,72.34,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer13_coef2.0_summary.csv,False
15,23,4.5,43.81,10.19,27.0,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer23_coef4.5_summary.csv,True
16,8,3.0,51.25,88.89,70.07,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer8_coef3.0_summary.csv,False
17,5,2.0,41.0,89.45,65.225,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer5_coef2.0_summary.csv,True
18,11,2.0,53.75,89.39,71.57,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer11_coef2.0_summary.csv,True
19,15,2.0,68.67,83.28,75.975,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer15_coef2.0_summary.csv,False
20,15,4.5,71.4,2.83,37.115,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer15_coef4.5_summary.csv,True
21,13,2.0,56.7,87.98,72.34,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer13_coef2.0_summary.csv,False
22,14,2.0,55.1,87.03,71.065,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer14_coef2.0_summary.csv,False
23,19,2.0,66.67,78.8,72.735,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer19_coef2.0_summary.csv,True
24,19,1.0,52.05,88.98,70.515,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_0/graphical_pv_layer19_coef1.0_summary.csv,False
25,4,1.5,38.25,89.78,64.015,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer4_coef1.5_summary.csv,True
26,16,3.5,62.94,8.91,35.925,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer16_coef3.5_summary.csv,True
27,24,3.0,73.83,77.54,75.685,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef3.0_summary.csv,False
28,24,3.0,73.83,77.54,75.685,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef3.0_summary.csv,False
29,24,3.0,73.83,77.54,75.685,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef3.0_summary.csv,False
30,24,3.0,73.83,77.54,75.685,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef3.0_summary.csv,False
31,24,3.0,73.83,77.54,75.685,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef3.0_summary.csv,False
32,24,3.0,73.83,77.54,75.685,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_1/graphical_pv_layer24_coef3.0_summary.csv,False
33,18,3.0,52.69,12.9,32.795,optuna_results/gemma-2-2b-it/graphical/pv_budget50_seeds3/seed_2/graphical_pv_layer18_coef3.0_summary.csv,True
