trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,24,3.0,75.41,79.62,77.515,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer24_coef3.0_summary.csv,False
1,2,2.0,37.55,89.73,63.64,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer2_coef2.0_summary.csv,False
2,12,4.0,71.56,23.59,47.575,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer12_coef4.0_summary.csv,False
3,1,1.5,39.0,89.76,64.38,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer1_coef1.5_summary.csv,False
4,3,4.0,42.75,89.65,66.2,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer3_coef4.0_summary.csv,False
5,4,3.0,42.35,89.63,65.99,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer4_coef3.0_summary.csv,False
6,14,3.0,62.13,66.01,64.07000000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer14_coef3.0_summary.csv,False
7,16,1.0,55.65,88.95,72.3,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer16_coef1.0_summary.csv,False
8,5,2.0,40.9,89.79,65.345,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer5_coef2.0_summary.csv,False
9,16,4.5,59.15,2.13,30.64,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer16_coef4.5_summary.csv,False
10,24,3.5,80.19,67.5,73.845,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer24_coef3.5_summary.csv,False
11,24,3.5,80.19,67.5,73.845,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer24_coef3.5_summary.csv,False
12,24,3.5,80.19,67.5,73.845,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer24_coef3.5_summary.csv,False
13,13,2.5,62.5,85.32,73.91,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer13_coef2.5_summary.csv,False
14,15,2.5,76.1,72.01,74.055,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer15_coef2.5_summary.csv,False
15,10,2.5,51.65,88.51,70.08,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer10_coef2.5_summary.csv,False
16,15,0.5,45.7,89.43,67.565,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer15_coef0.5_summary.csv,False
17,15,3.0,0.0,0.0,0.0,FAILED,True
18,7,2.5,47.95,89.24,68.595,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer7_coef2.5_summary.csv,False
19,25,1.5,57.8,88.97,73.38499999999999,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer25_coef1.5_summary.csv,False
20,11,4.5,0.0,0.0,0.0,FAILED,True
21,13,2.5,62.5,85.32,73.91,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer13_coef2.5_summary.csv,False
22,13,2.5,62.5,85.32,73.91,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer13_coef2.5_summary.csv,False
23,13,2.5,62.5,85.32,73.91,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer13_coef2.5_summary.csv,False
24,15,1.0,52.95,89.23,71.09,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer15_coef1.0_summary.csv,False
25,11,0.5,0.0,0.0,0.0,FAILED,True
26,25,3.0,81.25,71.93,76.59,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer25_coef3.0_summary.csv,False
27,25,2.0,67.1,88.54,77.82,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer25_coef2.0_summary.csv,False
28,25,3.0,81.25,71.93,76.59,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer25_coef3.0_summary.csv,False
29,25,2.0,67.1,88.54,77.82,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer25_coef2.0_summary.csv,False
30,2,2.0,37.55,89.73,63.64,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer2_coef2.0_summary.csv,False
