trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,21,1.5,60.35,87.63,73.99,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer21_coef1.5_summary.csv,False
1,19,4.0,45.62,2.98,24.299999999999997,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer19_coef4.0_summary.csv,False
2,5,3.0,44.75,89.6,67.175,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer5_coef3.0_summary.csv,False
3,2,1.0,38.4,89.87,64.135,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer2_coef1.0_summary.csv,False
4,14,2.0,55.4,86.08,70.74,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer14_coef2.0_summary.csv,False
5,24,3.5,80.19,67.5,73.845,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer24_coef3.5_summary.csv,False
6,7,0.5,39.4,89.45,64.425,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer7_coef0.5_summary.csv,False
7,21,4.0,41.94,4.65,23.294999999999998,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer21_coef4.0_summary.csv,False
8,15,1.0,52.95,89.23,71.09,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer15_coef1.0_summary.csv,False
9,13,0.5,40.15,89.62,64.885,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer13_coef0.5_summary.csv,False
10,3,1.5,39.4,89.48,64.44,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer3_coef1.5_summary.csv,False
11,24,3.5,80.19,67.5,73.845,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer24_coef3.5_summary.csv,False
12,9,3.5,0.0,0.0,0.0,FAILED,True
13,11,1.5,48.2,89.65,68.92500000000001,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer11_coef1.5_summary.csv,False
14,16,2.5,69.67,58.2,63.935,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer16_coef2.5_summary.csv,False
15,10,4.5,65.7,39.95,52.825,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer10_coef4.5_summary.csv,False
16,20,1.5,0.0,0.0,0.0,FAILED,True
17,24,3.5,80.19,67.5,73.845,steering_evaluations/gemma-2-2b-it/judge_gemma3_12b/graphical/graphical_dir_diff_pv_layer24_coef3.5_summary.csv,False
