trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,19,3.5,96.29,5.54,50.915000000000006,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer19_coef3.5_summary.csv,True
1,15,1.0,51.25,81.7,66.475,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer15_coef1.0_summary.csv,True
2,13,3.0,81.0,39.25,60.125,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer13_coef3.0_summary.csv,True
3,3,0.5,44.15,83.48,63.815,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer3_coef0.5_summary.csv,True
4,19,1.0,46.26,79.49,62.875,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer19_coef1.0_summary.csv,True
5,13,2.0,61.42,71.87,66.64500000000001,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer13_coef2.0_summary.csv,True
6,18,0.5,50.46,82.53,66.495,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer18_coef0.5_summary.csv,False
7,2,3.5,42.46,83.11,62.785,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer2_coef3.5_summary.csv,True
8,15,2.5,85.5,39.45,62.475,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer15_coef2.5_summary.csv,True
9,6,4.5,47.27,78.73,63.0,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer6_coef4.5_summary.csv,True
10,13,2.0,61.42,71.87,66.64500000000001,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer13_coef2.0_summary.csv,False
11,13,2.0,61.42,71.87,66.64500000000001,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer13_coef2.0_summary.csv,False
12,7,2.0,43.45,84.32,63.885,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer7_coef2.0_summary.csv,False
13,14,2.0,63.9,73.38,68.64,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer14_coef2.0_summary.csv,True
14,14,4.0,96.45,9.38,52.915,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer14_coef4.0_summary.csv,False
15,4,2.0,43.01,82.88,62.94499999999999,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer4_coef2.0_summary.csv,True
16,17,1.5,60.46,73.06,66.76,optuna_results_top15pl/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_1/hallucinating_pv_layer17_coef1.5_summary.csv,True
