trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,21,1.5,49.26,80.74,65.0,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer21_coef1.5_summary.csv,True
1,19,4.0,99.55,1.58,50.565,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer19_coef4.0_summary.csv,True
2,5,3.0,45.62,81.8,63.709999999999994,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer5_coef3.0_summary.csv,True
3,2,1.0,48.16,83.0,65.58,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer2_coef1.0_summary.csv,True
4,14,2.0,59.25,74.82,67.035,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer14_coef2.0_summary.csv,True
5,24,3.5,68.85,58.0,63.425,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer24_coef3.5_summary.csv,True
6,7,0.5,43.31,83.34,63.325,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer7_coef0.5_summary.csv,True
7,21,4.0,95.0,6.33,50.665,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer21_coef4.0_summary.csv,True
8,15,1.0,50.5,82.09,66.295,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer15_coef1.0_summary.csv,True
9,13,0.5,48.25,82.47,65.36,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer13_coef0.5_summary.csv,True
10,14,2.0,59.25,74.82,67.035,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer14_coef2.0_summary.csv,False
11,14,2.0,59.25,74.82,67.035,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer14_coef2.0_summary.csv,False
12,14,2.0,59.25,74.82,67.035,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer14_coef2.0_summary.csv,False
13,3,2.0,43.4,83.24,63.31999999999999,optuna_results/gemma-2-2b-it/hallucinating/pv_budget50_seeds3/seed_0/hallucinating_pv_layer3_coef2.0_summary.csv,True
