trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,21,1.0,83.5,91.66,87.58,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer21_coef1.0_summary.csv,True
1,22,1.0,84.43,91.44,87.935,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer22_coef1.0_summary.csv,True
2,21,3.0,86.66,89.86,88.25999999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer21_coef3.0_summary.csv,True
3,15,1.0,84.89,91.47,88.18,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer15_coef1.0_summary.csv,False
4,19,0.5,83.54,91.56,87.55000000000001,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer19_coef0.5_summary.csv,True
5,16,1.5,86.77,90.82,88.79499999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef1.5_summary.csv,False
6,15,3.5,89.61,79.49,84.55,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer15_coef3.5_summary.csv,False
7,19,4.0,91.07,73.5,82.285,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer19_coef4.0_summary.csv,False
8,12,2.0,83.96,91.31,87.63499999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer12_coef2.0_summary.csv,True
9,22,3.0,85.87,90.62,88.245,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer22_coef3.0_summary.csv,True
10,16,1.5,86.77,90.82,88.79499999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef1.5_summary.csv,False
11,16,1.5,86.77,90.82,88.79499999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef1.5_summary.csv,False
12,16,1.5,86.77,90.82,88.79499999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef1.5_summary.csv,False
13,24,1.5,84.41,91.53,87.97,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer24_coef1.5_summary.csv,True
14,11,4.5,86.01,88.39,87.2,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer11_coef4.5_summary.csv,True
15,23,2.5,84.31,91.19,87.75,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer23_coef2.5_summary.csv,False
16,20,1.5,85.03,91.45,88.24000000000001,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer20_coef1.5_summary.csv,True
17,18,1.5,86.27,91.22,88.745,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer18_coef1.5_summary.csv,True
18,14,2.5,85.65,90.1,87.875,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer14_coef2.5_summary.csv,True
19,13,4.0,85.24,87.43,86.33500000000001,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer13_coef4.0_summary.csv,True
20,16,4.5,94.16,30.56,62.36,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer16_coef4.5_summary.csv,False
21,16,1.5,86.77,90.82,88.79499999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef1.5_summary.csv,False
22,16,1.5,86.77,90.82,88.79499999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef1.5_summary.csv,False
23,17,1.5,85.75,91.05,88.4,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer17_coef1.5_summary.csv,False
24,10,0.5,83.27,91.61,87.44,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer10_coef0.5_summary.csv,False
25,16,2.0,87.07,90.79,88.93,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef2.0_summary.csv,False
26,16,2.0,87.07,90.79,88.93,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef2.0_summary.csv,False
27,16,2.0,87.07,90.79,88.93,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef2.0_summary.csv,False
28,17,2.0,86.69,90.79,88.74000000000001,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer17_coef2.0_summary.csv,False
29,10,2.0,82.95,90.77,86.86,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer10_coef2.0_summary.csv,True
30,20,2.0,85.64,91.21,88.425,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer20_coef2.0_summary.csv,True
31,16,2.0,87.07,90.79,88.93,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef2.0_summary.csv,False
32,16,2.0,87.07,90.79,88.93,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef2.0_summary.csv,False
33,21,2.0,84.69,91.19,87.94,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer21_coef2.0_summary.csv,False
34,16,2.0,87.07,90.79,88.93,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef2.0_summary.csv,False
35,14,2.0,85.18,90.59,87.885,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer14_coef2.0_summary.csv,False
36,23,1.0,83.26,91.56,87.41,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer23_coef1.0_summary.csv,False
37,13,3.5,85.37,88.86,87.11500000000001,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer13_coef3.5_summary.csv,True
38,12,2.0,83.96,91.31,87.63499999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer12_coef2.0_summary.csv,False
39,18,2.0,86.52,90.68,88.6,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer18_coef2.0_summary.csv,False
40,24,2.0,84.89,91.57,88.22999999999999,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer24_coef2.0_summary.csv,True
41,16,2.0,87.07,90.79,88.93,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef2.0_summary.csv,False
42,16,3.0,89.55,86.62,88.08500000000001,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer16_coef3.0_summary.csv,True
43,15,2.0,86.62,90.48,88.55000000000001,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer15_coef2.0_summary.csv,True
44,22,2.0,85.24,90.96,88.1,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer22_coef2.0_summary.csv,False
45,16,0.5,84.6,91.58,88.09,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_1/hedging_pv_layer16_coef0.5_summary.csv,False
46,11,1.0,84.07,91.42,87.745,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer11_coef1.0_summary.csv,True
47,19,3.5,90.0,84.32,87.16,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_2/hedging_pv_layer19_coef3.5_summary.csv,True
48,16,4.0,93.38,52.1,72.74,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef4.0_summary.csv,False
49,16,2.0,87.07,90.79,88.93,optuna_results_top15pl/gemma-2-2b-it/hedging/pv_budget50_seeds3/seed_0/hedging_pv_layer16_coef2.0_summary.csv,False
